season,week,contestant_index,name,prob_eliminated
1,1,1,John O'Hurley,0.00016544909158255905
1,1,2,Kelly Monaco,0.95954430103302
1,1,3,Evander Holyfield,0.0003749733732547611
1,1,4,Rachel Hunter,0.0002478649839758873
1,1,5,Joey McIntyre,0.00019257259555161
1,1,6,Trista Sutter,0.03947480395436287
1,2,1,John O'Hurley,0.00018886612087953836
1,2,2,Kelly Monaco,0.08521616458892822
1,2,3,Evander Holyfield,0.17508181929588318
1,2,4,Rachel Hunter,0.0012565230717882514
1,2,5,Joey McIntyre,0.009171942248940468
1,2,6,Trista Sutter,0.7290847301483154
1,3,1,John O'Hurley,0.012162991799414158
1,3,2,Kelly Monaco,0.03893924504518509
1,3,3,Evander Holyfield,0.8987342119216919
1,3,4,Rachel Hunter,0.005795910954475403
1,3,5,Joey McIntyre,0.04436767101287842
1,4,1,John O'Hurley,0.30457714200019836
1,4,2,Kelly Monaco,0.0076781208626925945
1,4,4,Rachel Hunter,0.04441181570291519
1,4,5,Joey McIntyre,0.6433328986167908
1,5,1,John O'Hurley,0.03050360456109047
1,5,2,Kelly Monaco,0.2090587317943573
1,5,5,Joey McIntyre,0.7604376077651978
1,6,1,John O'Hurley,0.5
1,6,2,Kelly Monaco,0.5
2,1,1,Tatum O'Neal,2.4377067475711556e-08
2,1,2,Tia Carrere,1.5010272136350977e-06
2,1,3,George Hamilton,4.5944645535200834e-05
2,1,4,Lisa Rinna,1.3939603377366439e-05
2,1,5,Stacy Keibler,4.344753889995445e-08
2,1,6,Jerry Rice,2.2531517984702987e-08
2,1,7,Giselle Fernandez,2.4295001566088104e-08
2,1,8,Master P,0.0041390880942344666
2,1,9,Drew Lachey,1.3544965149492327e-09
2,1,10,Kenny Mayne,0.9957993626594543
2,2,1,Tatum O'Neal,0.9912799000740051
2,2,2,Tia Carrere,0.00023548968601971865
2,2,3,George Hamilton,0.00020423048408702016
2,2,4,Lisa Rinna,0.0067570991814136505
2,2,5,Stacy Keibler,1.3555132127862635e-08
