date,Aiden Turner,Shannen Doherty,Niecy Nash,Buzz Aldrin,Dancing with the Stars,Chad Ochocinco,Evan Lysacek,Pamela Anderson,Nicole Scherzinger,Erin Andrews,Kate Gosselin,Jake Pavelka
2010-03-22,0,1,1,1,24,1.0,1.0,2.0,2.0,5.0,5.0,1.0
2010-03-23,3,5,2,10,100,4.0,4.0,20.0,10.0,18.0,16.0,2.0
2010-03-24,0,1,1,2,34,1.0,1.0,5.0,2.0,7.0,8.0,1.0
2010-03-25,0,0,1,1,15,1.0,1.0,5.0,1.0,4.0,5.0,1.0
2010-03-26,0,0,0,0,10,1.0,1.0,3.0,1.0,3.0,4.0,0.0
2010-03-27,0,1,0,0,9,1.0,1.0,4.0,2.0,5.0,3.0,0.0
2010-03-28,1,1,0,1,12,1.0,1.0,6.0,2.0,4.0,4.0,1.0
2010-03-29,0,0,0,1,12,1.0,1.0,3.0,1.0,4.0,3.0,1.0
2010-03-30,1,2,2,7,72,4.0,3.0,9.0,8.0,13.0,24.0,2.0
2010-03-31,0,6,0,2,93,2.0,1.0,4.0,4.0,7.0,15.0,1.0
2010-04-01,0,2,0,1,23,1.0,1.0,3.0,2.0,4.0,6.0,1.0
2010-04-02,0,1,0,0,10,1.0,1.0,3.0,1.0,3.0,4.0,0.0
2010-04-03,0,0,0,0,11,1.0,1.0,2.0,1.0,29.0,4.0,1.0
2010-04-04,0,0,0,0,8,0.0,1.0,3.0,1.0,12.0,4.0,1.0
2010-04-05,0,0,0,0,11,1.0,0.0,3.0,1.0,18.0,4.0,1.0
2010-04-06,1,0,3,3,52,2.0,2.0,6.0,5.0,17.0,13.0,1.0
2010-04-07,0,1,1,5,79,2.0,1.0,3.0,3.0,8.0,18.0,1.0
2010-04-08,0,0,0,1,24,1.0,1.0,3.0,2.0,4.0,14.0,1.0
2010-04-09,0,0,0,0,13,2.0,0.0,2.0,1.0,5.0,9.0,1.0
2010-04-10,0,0,0,0,9,2.0,1.0,4.0,2.0,4.0,7.0,1.0
2010-04-11,0,0,0,0,8,1.0,0.0,3.0,1.0,3.0,7.0,1.0
2010-04-12,0,0,0,1,8,1.0,0.0,2.0,1.0,4.0,7.0,1.0
2010-04-13,1,0,1,1,49,7.0,1.0,11.0,5.0,6.0,20.0,2.0
2010-04-14,5,0,1,1,82,3.0,1.0,6.0,2.0,4.0,15.0,1.0
2010-04-15,1,0,0,1,22,1.0,1.0,4.0,1.0,3.0,7.0,0.0
2010-04-16,0,0,0,1,11,1.0,0.0,3.0,1.0,3.0,8.0,1.0
2010-04-17,0,0,0,0,7,1.0,0.0,3.0,1.0,3.0,6.0,0.0
2010-04-18,0,0,0,0,7,1.0,1.0,3.0,1.0,2.0,6.0,0.0
2010-04-19,0,0,0,0,8,1.0,0.0,2.0,1.0,2.0,5.0,0.0
2010-04-20,0,0,1,0,40,3.0,2.0,5.0,4.0,6.0,11.0,2.0
2010-04-21,0,0,1,0,69,2.0,1.0,3.0,2.0,4.0,16.0,2.0
2010-04-22,0,0,0,0,15,1.0,1.0,2.0,1.0,3.0,7.0,1.0
2010-04-23,0,0,0,0,7,1.0,0.0,2.0,1.0,4.0,5.0,0.0
2010-04-24,0,0,0,0,6,1.0,1.0,4.0,1.0,3.0,6.0,1.0
2010-04-25,0,0,0,0,5,1.0,0.0,3.0,1.0,2.0,5.0,1.0
2010-04-26,0,0,0,0,6,0.0,0.0,2.0,1.0,2.0,4.0,0.0
2010-04-27,0,0,1,0,30,2.0,2.0,5.0,4.0,7.0,4.0,1.0
2010-04-28,0,0,1,0,56,1.0,1.0,3.0,2.0,5.0,3.0,4.0
2010-04-29,0,0,1,0,16,1.0,1.0,2.0,1.0,2.0,3.0,2.0
2010-04-30,0,0,0,0,7,1.0,1.0,2.0,1.0,2.0,4.0,1.0
2010-05-01,0,0,0,0,5,0.0,1.0,3.0,1.0,2.0,3.0,1.0
2010-05-02,0,0,0,0,4,1.0,0.0,3.0,1.0,2.0,3.0,0.0
2010-05-03,0,0,0,0,6,1.0,0.0,2.0,1.0,2.0,2.0,0.0
2010-05-04,0,0,1,0,31,3.0,3.0,5.0,4.0,5.0,2.0,1.0
2010-05-05,0,0,1,0,52,2.0,1.0,7.0,3.0,18.0,3.0,1.0
2010-05-06,0,0,0,0,21,1.0,1.0,3.0,1.0,18.0,3.0,0.0
2010-05-07,0,0,0,2,11,1.0,1.0,3.0,1.0,9.0,2.0,0.0
2010-05-08,0,0,0,1,6,1.0,1.0,3.0,1.0,7.0,2.0,0.0
2010-05-09,0,0,0,1,5,1.0,1.0,3.0,1.0,4.0,2.0,0.0
2010-05-10,0,0,0,1,7,1.0,1.0,2.0,1.0,3.0,2.0,0.0
2010-05-11,0,0,1,1,35,3.0,3.0,2.0,6.0,11.0,3.0,1.0
2010-05-12,0,0,4,0,49,1.0,1.0,2.0,3.0,6.0,3.0,1.0
2010-05-13,0,0,1,0,15,1.0,1.0,1.0,1.0,3.0,2.0,0.0
2010-05-14,0,0,0,0,7,1.0,1.0,2.0,1.0,2.0,2.0,0.0
2010-05-15,0,0,0,1,5,1.0,1.0,2.0,1.0,2.0,3.0,0.0
2010-05-16,0,0,0,0,4,0.0,0.0,2.0,1.0,2.0,3.0,1.0
2010-05-17,0,0,0,0,7,1.0,0.0,2.0,1.0,2.0,2.0,0.0
2010-05-18,0,0,0,1,38,5.0,4.0,2.0,6.0,16.0,3.0,0.0
2010-05-19,0,0,0,1,56,5.0,2.0,2.0,3.0,7.0,3.0,0.0
2010-05-20,0,0,0,1,16,2.0,1.0,2.0,1.0,3.0,2.0,0.0
2010-05-21,0,0,0,0,8,1.0,1.0,2.0,1.0,3.0,2.0,0.0
2010-05-22,0,0,0,0,7,1.0,1.0,2.0,2.0,4.0,3.0,0.0
2010-05-23,0,0,0,0,6,0.0,1.0,2.0,1.0,3.0,2.0,0.0
2010-05-24,0,0,0,0,10,1.0,1.0,2.0,1.0,3.0,2.0,0.0
2010-05-25,0,0,0,0,45,1.0,2.0,2.0,6.0,10.0,3.0,1.0
