date,David Hasselhoff,Florence Henderson,Kyle Massey,Jennifer Grey,Dancing with the Stars,Rick Fox,Kurt Warner,Margaret Cho,Michael Bolton,Brandy,The Situation,Audrina Patridge,Bristol Palin
2010-09-20,1,0,1,2,19,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0
2010-09-21,12,11,5,26,82,20.0,6.0,3.0,6.0,6.0,9.0,4.0,12.0
2010-09-22,7,5,4,15,69,7.0,2.0,2.0,2.0,4.0,8.0,3.0,7.0
2010-09-23,2,1,1,3,15,1.0,1.0,1.0,0.0,3.0,3.0,1.0,3.0
2010-09-24,1,0,0,2,7,1.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0
2010-09-25,1,0,1,4,7,1.0,1.0,1.0,0.0,3.0,3.0,1.0,2.0
2010-09-26,1,0,0,3,5,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0
2010-09-27,1,0,0,2,8,1.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0
2010-09-28,1,2,3,25,46,6.0,4.0,1.0,5.0,4.0,6.0,6.0,6.0
2010-09-29,1,1,2,9,55,2.0,1.0,1.0,8.0,4.0,4.0,2.0,5.0
2010-09-30,1,0,0,4,14,1.0,0.0,0.0,3.0,2.0,2.0,1.0,2.0
2010-10-01,1,0,0,3,7,0.0,0.0,0.0,2.0,3.0,4.0,1.0,1.0
2010-10-02,0,0,1,2,6,1.0,0.0,0.0,2.0,3.0,3.0,1.0,1.0
2010-10-03,1,0,0,1,5,1.0,0.0,0.0,1.0,4.0,3.0,1.0,1.0
2010-10-04,0,0,0,2,7,1.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0
2010-10-05,0,3,2,7,30,9.0,2.0,5.0,1.0,4.0,5.0,3.0,3.0
2010-10-06,0,1,1,2,41,3.0,1.0,5.0,4.0,3.0,4.0,2.0,3.0
2010-10-07,0,1,0,1,13,1.0,0.0,1.0,1.0,3.0,2.0,1.0,1.0
2010-10-08,0,0,0,1,6,1.0,0.0,0.0,1.0,3.0,4.0,1.0,1.0
2010-10-09,0,0,0,1,4,1.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0
2010-10-10,0,0,0,1,5,0.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0
2010-10-11,0,0,0,0,6,1.0,1.0,0.0,0.0,3.0,3.0,1.0,1.0
2010-10-12,0,3,1,12,30,4.0,3.0,0.0,0.0,4.0,5.0,3.0,4.0
2010-10-13,0,1,0,5,40,1.0,1.0,0.0,0.0,3.0,7.0,1.0,3.0
2010-10-14,0,0,0,2,11,1.0,0.0,0.0,0.0,3.0,4.0,1.0,2.0
2010-10-15,0,0,0,1,6,1.0,0.0,0.0,0.0,3.0,5.0,1.0,1.0
