date,Ralph Macchio,Chelsea Kane,Kirstie Alley,Hines Ward,Dancing with the Stars,Sugar Ray Leonard,Chris Jericho,Petra Nemcova,Mike Catherwood,Romeo,Wendy Williams,Kendra Wilkinson
2011-03-21,2,3,2,1,22,1.0,1.0,1.0,1.0,9.0,3.0,3.0
2011-03-22,25,9,31,12,100,15.0,3.0,7.0,4.0,20.0,17.0,8.0
2011-03-23,5,2,8,2,32,1.0,1.0,1.0,1.0,11.0,5.0,3.0
2011-03-24,2,1,4,1,15,1.0,1.0,1.0,0.0,9.0,4.0,3.0
2011-03-25,1,1,8,0,12,0.0,0.0,1.0,0.0,9.0,3.0,3.0
2011-03-26,1,1,5,1,9,1.0,0.0,1.0,0.0,7.0,3.0,3.0
2011-03-27,4,2,7,2,14,2.0,1.0,1.0,1.0,11.0,3.0,3.0
2011-03-28,2,2,3,1,11,1.0,1.0,1.0,0.0,10.0,3.0,2.0
2011-03-29,18,12,13,8,68,7.0,4.0,5.0,3.0,18.0,12.0,5.0
2011-03-30,11,9,9,5,88,4.0,2.0,3.0,10.0,14.0,10.0,4.0
2011-03-31,2,2,2,1,20,1.0,1.0,1.0,2.0,11.0,3.0,2.0
2011-04-01,1,1,1,1,11,0.0,1.0,0.0,1.0,8.0,3.0,2.0
2011-04-02,1,2,1,1,7,0.0,0.0,0.0,0.0,7.0,2.0,3.0
2011-04-03,1,2,1,1,6,0.0,0.0,0.0,0.0,8.0,2.0,2.0
2011-04-04,1,1,1,0,8,0.0,1.0,0.0,0.0,8.0,2.0,2.0
2011-04-05,13,11,24,10,74,7.0,3.0,3.0,0.0,13.0,11.0,4.0
2011-04-06,3,5,13,5,64,3.0,1.0,2.0,0.0,10.0,16.0,2.0
2011-04-07,2,1,4,1,15,1.0,0.0,0.0,0.0,9.0,5.0,2.0
2011-04-08,2,1,3,1,11,0.0,1.0,0.0,0.0,9.0,3.0,3.0
2011-04-09,1,1,2,1,7,0.0,1.0,0.0,0.0,7.0,3.0,4.0
2011-04-10,1,1,2,1,6,0.0,1.0,0.0,0.0,8.0,2.0,3.0
2011-04-11,1,1,1,1,7,0.0,1.0,0.0,0.0,9.0,2.0,2.0
2011-04-12,4,6,10,6,48,3.0,2.0,2.0,0.0,15.0,3.0,4.0
2011-04-13,2,3,4,2,57,3.0,1.0,1.0,0.0,12.0,2.0,5.0
2011-04-14,1,1,2,1,16,1.0,1.0,0.0,0.0,10.0,2.0,2.0
2011-04-15,1,1,2,1,9,1.0,0.0,0.0,1.0,9.0,2.0,2.0
2011-04-16,1,2,1,1,7,1.0,1.0,0.0,0.0,6.0,2.0,2.0
2011-04-17,1,2,1,1,5,0.0,0.0,0.0,0.0,8.0,1.0,2.0
2011-04-18,0,2,1,0,7,0.0,0.0,0.0,0.0,9.0,2.0,2.0
2011-04-19,2,7,7,4,40,0.0,2.0,1.0,0.0,12.0,2.0,4.0
