date,Elisabetta Canalis,David Arquette,Ricki Lake,J.R. Martinez,Dancing with the Stars,Metta World Peace (Ron),Hope Solo,Chynna Phillips,Kristin Cavallari,Carson Kressley,Chaz Bono,Nancy Grace,Rob Kardashian
2011-09-19,0,0,1,0,20,0.0,3.0,0.0,1.0,0.0,5.0827498408656915,2.0330999363462765,1.0165499681731383
2011-09-20,3,9,4,3,84,0.0,13.0,10.0,8.0,3.0496499045194145,30.49649904519415,12.198599618077658,4.066199872692553
2011-09-21,3,4,3,5,100,1.0,9.0,5.0,4.0,2.0330999363462765,18.297899427116487,7.1158497772119675,2.0330999363462765
2011-09-22,1,1,0,0,20,0.0,3.0,1.0,1.0,0.0,5.0827498408656915,3.0496499045194145,1.0165499681731383
2011-09-23,0,1,0,0,11,0.0,4.0,1.0,1.0,0.0,4.066199872692553,3.0496499045194145,1.0165499681731383
2011-09-24,0,0,0,0,8,0.0,3.0,1.0,1.0,0.0,3.0496499045194145,2.0330999363462765,1.0165499681731383
2011-09-25,0,1,0,1,10,0.0,3.0,1.0,2.0,0.0,3.0496499045194145,2.0330999363462765,1.0165499681731383
2011-09-26,0,0,0,0,10,0.0,3.0,0.0,2.0,0.0,2.0330999363462765,2.0330999363462765,1.0165499681731383
2011-09-27,2,3,6,3,66,0.0,14.0,9.0,4.0,1.0165499681731383,11.18204964990452,101.65499681731383,3.0496499045194145
2011-09-28,8,3,4,2,81,0.0,9.0,4.0,3.0,1.0165499681731383,11.18204964990452,84.37364735837048,2.0330999363462765
2011-09-29,1,1,1,0,19,0.0,4.0,1.0,1.0,0.0,4.066199872692553,36.595798854232974,1.0165499681731383
2011-09-30,1,1,1,0,11,0.0,3.0,1.0,2.0,0.0,4.066199872692553,15.248249522597074,1.0165499681731383
2011-10-01,1,1,0,0,9,0.0,3.0,1.0,2.0,0.0,2.0330999363462765,11.18204964990452,1.0165499681731383
2011-10-02,0,0,0,0,6,0.0,2.0,0.0,1.0,0.0,2.0330999363462765,9.148949713558244,1.0165499681731383
2011-10-03,0,0,0,0,8,0.0,3.0,1.0,1.0,0.0,1.0165499681731383,7.1158497772119675,1.0165499681731383
2011-10-04,0,5,5,6,56,0.0,10.0,7.0,11.0,2.0330999363462765,8.132399745385106,16.264799490770212,3.0496499045194145
2011-10-05,0,3,3,3,88,0.0,21.0,5.0,20.0,1.0165499681731383,8.132399745385106,18.297899427116487,2.0330999363462765
