date,William Levy,Jack Wagner,Sherri Sheperd,Jaleel White,Dancing with the Stars,Roshon Fegan,Melissa Gilbert,Martina Navratilova,Donald Driver,Gavin DeGraw,Gladys Knight,Katherine Jenkins,Maria Menounos
2012-03-19,3,1,0,1,23,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0
2012-03-20,45,13,0,11,100,7.0,24.0,18.0,9.0,9.0,41.0,7.0,11.0
2012-03-21,12,2,0,2,30,1.0,4.0,2.0,2.0,3.0,5.0,2.0,2.0
2012-03-22,8,1,0,1,14,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0
2012-03-23,5,0,0,1,9,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0
2012-03-24,5,0,0,1,8,1.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0
2012-03-25,9,2,0,2,17,1.0,4.0,3.0,1.0,3.0,7.0,1.0,2.0
2012-03-26,5,0,0,1,12,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0
2012-03-27,24,13,0,5,57,3.0,13.0,10.0,4.0,10.0,15.0,13.0,6.0
2012-03-28,18,4,0,4,70,4.0,5.0,10.0,2.0,6.0,7.0,7.0,4.0
2012-03-29,7,1,0,2,14,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
2012-03-30,5,1,0,2,9,0.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0
2012-03-31,4,0,0,1,6,1.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0
2012-04-01,3,0,0,1,6,1.0,1.0,0.0,0.0,2.0,1.0,1.0,3.0
2012-04-02,3,1,0,1,7,0.0,1.0,0.0,0.0,2.0,1.0,0.0,4.0
2012-04-03,18,13,0,10,54,3.0,12.0,0.0,5.0,9.0,7.0,7.0,13.0
2012-04-04,11,16,0,8,63,2.0,6.0,0.0,2.0,7.0,4.0,5.0,7.0
2012-04-05,7,2,0,2,15,0.0,1.0,0.0,0.0,5.0,1.0,1.0,5.0
2012-04-06,4,1,0,2,9,0.0,1.0,0.0,0.0,3.0,1.0,2.0,2.0
2012-04-07,4,1,0,4,8,1.0,1.0,0.0,0.0,2.0,1.0,1.0,2.0
2012-04-08,4,1,0,3,7,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2012-04-09,3,1,0,4,8,1.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
2012-04-10,8,3,0,7,45,3.0,29.0,0.0,5.0,5.0,7.0,3.0,7.0
2012-04-11,4,3,0,2,56,2.0,15.0,0.0,2.0,4.0,2.0,1.0,3.0
2012-04-12,4,0,0,1,15,0.0,4.0,0.0,1.0,2.0,1.0,1.0,1.0
2012-04-13,3,0,0,1,8,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
2012-04-14,3,0,0,1,7,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0
2012-04-15,3,0,0,1,6,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2012-04-16,3,0,0,1,7,0.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0
2012-04-17,13,0,0,3,43,4.0,7.0,0.0,3.0,7.0,9.0,4.0,17.0
2012-04-18,6,0,0,3,51,1.0,3.0,0.0,1.0,11.0,2.0,1.0,9.0
2012-04-19,4,0,0,1,14,0.0,1.0,0.0,0.0,4.0,1.0,1.0,3.0
2012-04-20,3,0,0,1,8,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0
2012-04-21,3,0,0,1,6,1.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0
2012-04-22,2,0,0,1,5,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
2012-04-23,2,0,0,0,7,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
2012-04-24,8,0,0,3,45,3.0,7.0,0.0,3.0,2.0,9.0,5.0,4.0
2012-04-25,4,0,0,1,47,2.0,4.0,0.0,1.0,1.0,11.0,2.0,2.0
2012-04-26,3,0,0,1,13,1.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0
2012-04-27,2,0,0,0,8,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2012-04-28,2,0,0,1,5,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2012-04-29,2,0,0,1,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2012-04-30,2,0,0,0,6,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
2012-05-01,8,0,0,2,37,2.0,5.0,0.0,3.0,1.0,1.0,3.0,8.0
2012-05-02,4,0,0,5,50,2.0,2.0,0.0,1.0,3.0,1.0,1.0,3.0
2012-05-03,2,0,0,1,12,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
2012-05-04,2,0,0,1,7,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2012-05-05,2,0,0,1,5,0.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0
2012-05-06,2,0,0,0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2012-05-07,2,0,0,1,7,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0
2012-05-08,7,0,0,1,43,4.0,7.0,0.0,4.0,1.0,0.0,4.0,10.0
2012-05-09,5,0,0,1,60,3.0,10.0,0.0,2.0,1.0,0.0,2.0,4.0
2012-05-10,3,0,0,0,14,1.0,2.0,0.0,1.0,1.0,0.0,1.0,2.0
2012-05-11,2,0,0,0,7,1.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
2012-05-12,2,0,0,0,6,0.0,1.0,0.0,0.0,1.0,1.0,2.0,1.0
2012-05-13,2,0,0,0,5,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2012-05-14,2,0,0,0,8,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0
2012-05-15,12,0,0,0,58,0.0,1.0,0.0,5.0,1.0,0.0,21.0,12.0
2012-05-16,8,0,0,0,71,0.0,1.0,0.0,3.0,1.0,0.0,5.0,10.0
2012-05-17,4,0,0,0,16,0.0,1.0,0.0,1.0,1.0,0.0,1.0,4.0
2012-05-18,3,0,0,0,9,0.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0
2012-05-19,3,0,0,0,6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2012-05-20,3,0,0,0,6,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2012-05-21,3,0,0,0,11,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
2012-05-22,13,0,0,0,66,0.0,0.0,0.0,9.0,2.0,0.0,5.0,1.0
