date,Gilles Marini,Sabrina Bryan,Kirstie Alley,Kelly Monaco,Dancing with the Stars,Apolo Anton Ohno,Emmitt Smith,Shawn Johnson,Pamela Anderson,Helio Castroneves,Joey Fatone,Drew Lachey,Bristol Palin,Melissa Rycroft
2012-09-24,0,1,2,1,28,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0
2012-09-25,6,6,11,24,87,1.0,8.0,7.0,21.0,2.0,3.0,5.0,11.0,8.0
2012-09-26,3,5,6,17,100,1.0,7.0,6.0,21.0,1.0,3.0,5.0,8.0,6.0
2012-09-27,1,1,4,3,21,0.0,1.0,2.0,6.0,0.0,1.0,1.0,2.0,1.0
2012-09-28,1,0,2,2,11,0.0,1.0,2.0,5.0,0.0,1.0,0.0,1.0,1.0
2012-09-29,1,0,1,2,9,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,1.0
2012-09-30,0,0,1,2,7,0.0,1.0,1.0,4.0,0.0,1.0,0.0,1.0,0.0
2012-10-01,1,0,1,2,11,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0
2012-10-02,3,5,8,10,49,1.0,4.0,7.0,3.0,1.0,4.0,5.0,7.0,3.0
2012-10-03,2,4,3,8,82,0.0,2.0,4.0,3.0,1.0,5.0,2.0,8.0,2.0
2012-10-04,0,1,1,2,17,0.0,1.0,2.0,2.0,0.0,1.0,1.0,3.0,0.0
2012-10-05,0,0,1,1,11,0.0,1.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0
2012-10-06,0,0,1,1,8,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0
2012-10-07,0,0,1,1,7,0.0,1.0,2.0,3.0,0.0,0.0,1.0,1.0,0.0
2012-10-08,0,0,1,1,8,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0
2012-10-09,2,4,4,7,50,0.0,2.0,8.0,2.0,1.0,0.0,2.0,11.0,4.0
2012-10-10,1,3,3,7,94,0.0,1.0,6.0,2.0,2.0,0.0,4.0,11.0,3.0
2012-10-11,0,0,1,2,21,0.0,1.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0
2012-10-12,0,0,1,1,9,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0
2012-10-13,0,0,1,1,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
2012-10-14,0,0,2,1,7,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0
2012-10-15,0,1,1,2,10,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-16,5,4,5,31,65,1.0,3.0,9.0,2.0,0.0,0.0,0.0,5.0,5.0
2012-10-17,3,1,3,18,77,0.0,1.0,6.0,2.0,0.0,0.0,0.0,9.0,1.0
2012-10-18,1,1,1,7,19,0.0,1.0,3.0,2.0,0.0,0.0,0.0,3.0,1.0
2012-10-19,0,0,1,3,12,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-20,1,0,1,3,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-21,0,0,1,2,8,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-22,1,0,1,3,14,0.0,1.0,5.0,2.0,0.0,0.0,0.0,1.0,10.0
2012-10-23,7,2,5,10,39,0.0,4.0,5.0,2.0,0.0,0.0,0.0,1.0,6.0
2012-10-24,5,3,2,7,67,1.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,3.0
2012-10-25,2,1,1,2,26,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0
2012-10-26,1,0,1,2,13,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-27,1,0,1,2,10,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-28,1,0,1,2,8,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-29,1,0,1,1,12,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-10-30,3,8,10,12,52,1.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,5.0
2012-10-31,2,17,4,7,80,0.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,2.0
2012-11-01,1,3,2,2,21,0.0,1.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0
2012-11-02,0,1,2,2,11,0.0,1.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-11-03,0,1,6,2,10,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0
2012-11-04,0,1,3,2,8,0.0,1.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0
2012-11-05,0,1,2,1,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-11-06,3,1,11,19,39,1.0,4.0,7.0,2.0,0.0,0.0,0.0,1.0,5.0
2012-11-07,1,0,5,4,16,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
2012-11-08,0,0,5,2,15,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
2012-11-09,0,0,5,2,15,0.0,1.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0
2012-11-10,0,0,4,2,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0
2012-11-11,0,0,3,1,7,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0
2012-11-12,0,0,2,2,9,0.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0
2012-11-13,5,0,6,18,43,0.0,3.0,7.0,2.0,0.0,0.0,0.0,1.0,7.0
