date,Ingo Rademacher,Zendaya,Dorothy Hamill,Victor Ortiz,Dancing with the Stars,Alexandra Raisman,Jacoby Jones,D. L. Hughley,Andy Dick,Wynonna Judd,Kellie Pickler,Lisa Vanderpump,Sean Lowe
2013-03-18,1,5,2,1,26,0.0,1.0,0.0,1.0,1.0,3.0,2.0,7.0
2013-03-19,6,28,37,5,100,2.0,12.0,0.0,14.0,15.0,21.0,22.0,11.0
2013-03-20,2,11,9,2,40,1.0,3.0,0.0,8.0,4.0,10.0,7.0,6.0
2013-03-21,0,4,2,0,14,0.0,1.0,0.0,2.0,1.0,4.0,3.0,5.0
2013-03-22,0,4,1,0,9,0.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0
2013-03-23,0,5,1,0,9,0.0,1.0,0.0,1.0,1.0,3.0,3.0,4.0
2013-03-24,0,5,1,0,7,0.0,0.0,0.0,1.0,1.0,2.0,3.0,4.0
2013-03-25,0,5,1,0,10,0.0,1.0,0.0,1.0,1.0,2.0,5.0,4.0
2013-03-26,3,20,13,3,60,1.0,8.0,0.0,7.0,6.0,24.0,18.0,5.0
2013-03-27,1,14,26,1,71,0.0,3.0,0.0,4.0,2.0,14.0,8.0,5.0
2013-03-28,0,7,5,1,18,0.0,1.0,0.0,1.0,1.0,4.0,3.0,3.0
2013-03-29,0,5,2,0,10,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0
2013-03-30,0,5,2,0,8,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0
2013-03-31,0,6,1,0,8,0.0,0.0,0.0,1.0,1.0,2.0,2.0,4.0
2013-04-01,0,4,1,0,8,0.0,0.0,0.0,1.0,0.0,2.0,2.0,4.0
2013-04-02,3,17,4,5,53,1.0,10.0,0.0,6.0,4.0,15.0,9.0,7.0
2013-04-03,1,8,2,2,51,0.0,3.0,0.0,3.0,5.0,6.0,5.0,6.0
2013-04-04,0,4,1,1,15,0.0,1.0,0.0,1.0,1.0,3.0,2.0,4.0
2013-04-05,0,4,0,1,9,0.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0
2013-04-06,0,6,0,0,8,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0
2013-04-07,0,6,0,0,7,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0
2013-04-08,0,4,0,0,7,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0
2013-04-09,3,14,0,2,42,2.0,8.0,0.0,15.0,1.0,13.0,12.0,5.0
2013-04-10,1,6,1,1,57,1.0,2.0,0.0,6.0,0.0,10.0,9.0,4.0
2013-04-11,0,3,0,0,14,0.0,1.0,0.0,1.0,0.0,3.0,2.0,4.0
2013-04-12,0,3,0,0,8,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-04-13,0,5,0,0,7,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0
2013-04-14,0,5,0,0,6,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-04-15,0,4,0,0,7,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-04-16,1,15,0,2,33,1.0,5.0,0.0,3.0,0.0,5.0,2.0,4.0
2013-04-17,1,7,0,1,45,0.0,4.0,0.0,2.0,0.0,3.0,2.0,4.0
2013-04-18,0,4,0,0,13,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0
2013-04-19,0,4,0,0,7,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-04-20,0,6,0,0,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
2013-04-21,0,5,0,0,6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-04-22,0,3,0,0,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-04-23,2,10,0,2,30,1.0,4.0,0.0,3.0,0.0,6.0,1.0,4.0
2013-04-24,1,6,0,3,43,0.0,2.0,0.0,4.0,0.0,3.0,1.0,4.0
2013-04-25,0,3,0,1,12,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-04-26,0,3,0,0,7,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-04-27,0,4,0,0,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
2013-04-28,0,5,0,1,5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0
2013-04-29,0,4,0,0,6,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2013-04-30,1,10,0,0,27,1.0,4.0,0.0,4.0,0.0,5.0,1.0,4.0
2013-05-01,1,5,0,1,40,0.0,2.0,0.0,7.0,0.0,3.0,1.0,3.0
2013-05-02,0,3,0,0,11,0.0,1.0,0.0,2.0,0.0,1.0,1.0,2.0
2013-05-03,0,3,0,1,8,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-05-04,0,5,0,1,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-05-05,0,5,0,2,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-05-06,0,4,0,1,6,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0
2013-05-07,3,13,0,1,35,2.0,5.0,0.0,1.0,0.0,8.0,1.0,4.0
2013-05-08,1,7,0,0,46,0.0,2.0,0.0,1.0,0.0,4.0,1.0,6.0
2013-05-09,0,3,0,0,14,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0
2013-05-10,0,3,0,0,9,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0
2013-05-11,0,5,0,0,7,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0
2013-05-12,0,5,0,0,6,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0
2013-05-13,0,4,0,0,8,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
2013-05-14,2,12,0,0,35,1.0,6.0,0.0,1.0,0.0,9.0,0.0,2.0
2013-05-15,2,7,0,0,55,0.0,2.0,0.0,0.0,0.0,5.0,1.0,2.0
2013-05-16,1,4,0,0,15,0.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0
2013-05-17,0,3,0,0,9,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0
2013-05-18,0,5,0,0,7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0
2013-05-19,0,5,0,0,7,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2013-05-20,0,4,1,0,12,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0
2013-05-21,0,22,0,0,82,2.0,7.0,0.0,1.0,0.0,26.0,1.0,2.0
