date,Valerie Harper,Brant Daugherty,Elizabeth Berkley Lauren,Leah Remini,Dancing with the Stars,Corbin Bleu,Amber Riley,Keyshawn Johnson,Bill Engvall,Christina Milian,"Nicole ""Snooki"" Polizzi",Jack Osbourne,Bill Nye
2013-09-16,1,2,0,2,26,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
2013-09-17,23,19,1,10,100,9.0,10.0,5.0,4.0,18.0,0.0,6.0,34.0
2013-09-18,4,3,0,3,25,2.0,3.0,1.0,1.0,4.0,0.0,1.0,11.0
2013-09-19,3,1,0,1,14,1.0,2.0,0.0,0.0,2.0,0.0,0.0,8.0
2013-09-20,17,1,0,3,10,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6.0
2013-09-21,2,1,0,2,8,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0
2013-09-22,1,1,0,1,7,1.0,1.0,1.0,0.0,2.0,0.0,0.0,4.0
2013-09-23,1,1,0,1,11,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
2013-09-24,10,9,1,10,78,7.0,5.0,5.0,4.0,6.0,0.0,3.0,16.0
2013-09-25,2,2,0,4,18,2.0,1.0,1.0,1.0,2.0,0.0,1.0,8.0
2013-09-26,1,1,0,2,8,1.0,1.0,1.0,0.0,2.0,0.0,0.0,5.0
2013-09-27,1,1,0,1,6,1.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0
2013-09-28,1,1,0,2,6,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
2013-09-29,1,1,0,1,6,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0
2013-09-30,1,1,0,1,7,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
2013-10-01,5,6,0,3,49,3.0,2.0,1.0,2.0,7.0,0.0,2.0,17.0
2013-10-02,1,2,0,1,14,1.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0
2013-10-03,1,1,0,1,7,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0
2013-10-04,1,0,0,1,5,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0
2013-10-05,1,1,0,1,5,1.0,1.0,0.0,0.0,5.0,0.0,1.0,3.0
2013-10-06,1,1,0,1,5,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2013-10-07,1,0,0,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
2013-10-08,12,5,0,5,48,5.0,3.0,0.0,2.0,5.0,0.0,2.0,3.0
2013-10-09,2,1,0,1,9,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2013-10-10,1,1,0,1,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
2013-10-11,1,0,0,1,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3.0
2013-10-12,1,0,0,1,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2013-10-13,1,0,0,1,5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
2013-10-14,1,0,0,1,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
