date,Billy Dee Williams,Danica McKellar,James Maslow,Candace Cameron Bure,Dancing with the Stars,Sean Avery,Diana Nyad,Charlie White,Amy Purdy,Meryl Davis,Drew Carey,Cody Simpson,NeNe Leakes
2014-03-17,1,3,1,0,21,0.0,0.0,1.0,1.0,2.0,1.0,1.0,3.0
2014-03-18,13,20,11,6,95,9.0,10.0,6.0,15.0,7.0,15.0,21.0,10.0
2014-03-19,3,4,2,3,22,1.0,1.0,2.0,4.0,2.0,2.0,4.0,3.0
2014-03-20,1,2,1,1,11,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
2014-03-21,1,2,1,1,7,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
2014-03-22,1,2,1,0,8,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
2014-03-23,1,1,1,0,7,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
2014-03-24,1,1,1,0,10,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0
2014-03-25,15,11,14,4,91,14.0,10.0,6.0,10.0,7.0,7.0,17.0,7.0
2014-03-26,3,2,2,2,19,3.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0
2014-03-27,1,1,1,1,10,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
2014-03-28,1,1,1,1,7,2.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0
2014-03-29,1,1,1,1,6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0
2014-03-30,1,2,2,0,6,0.0,0.0,1.0,1.0,1.0,1.0,9.0,2.0
2014-03-31,1,0,1,0,7,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0
2014-04-01,8,14,8,2,59,1.0,0.0,4.0,10.0,6.0,18.0,9.0,7.0
2014-04-02,2,2,2,1,19,1.0,0.0,1.0,3.0,2.0,3.0,3.0,2.0
2014-04-03,1,1,1,0,8,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
2014-04-04,1,1,1,0,6,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
2014-04-05,1,1,1,0,6,0.0,0.0,1.0,1.0,1.0,1.0,4.0,2.0
2014-04-06,1,1,1,0,5,0.0,0.0,1.0,0.0,1.0,1.0,3.0,2.0
2014-04-07,1,1,1,0,7,0.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0
2014-04-08,1,7,16,1,50,0.0,0.0,3.0,14.0,9.0,4.0,15.0,7.0
2014-04-09,0,1,2,0,13,0.0,0.0,1.0,1.0,3.0,1.0,4.0,3.0
2014-04-10,0,1,2,0,7,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
2014-04-11,0,5,1,0,6,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0
2014-04-12,0,2,1,0,6,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0
2014-04-13,0,1,1,0,5,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0
2014-04-14,0,1,1,0,7,0.0,0.0,1.0,1.0,1.0,1.0,2.0,6.0
2014-04-15,0,5,20,2,74,0.0,0.0,3.0,12.0,8.0,3.0,17.0,7.0
2014-04-16,1,1,4,1,16,0.0,0.0,1.0,2.0,2.0,1.0,4.0,3.0
2014-04-17,0,1,2,0,9,0.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0
2014-04-18,0,1,2,0,6,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0
2014-04-19,0,1,2,0,6,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0
2014-04-20,0,1,1,0,6,0.0,0.0,1.0,1.0,1.0,1.0,3.0,2.0
2014-04-21,0,1,1,0,7,0.0,0.0,0.0,1.0,1.0,2.0,2.0,5.0
