date,Antonio Sabato Jr.,Jonathan Bennett,Lea Thompson,Janel Parrish,Dancing with the Stars,Alfonso Ribeiro,Lolo Jones,Randy Couture,Tommy Chong,Betsey Johnson,Michael Waltrip,Tavis Smiley,Bethany Mota,Sadie Robertson
2014-09-15,0,1,1,1,18,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,1.0
2014-09-16,0,7,14,5,75,9.0,13.0,6.0,15.0,9.0,4.0,4.0,9.0,14.0
2014-09-17,0,3,4,3,55,4.0,17.0,2.0,4.0,5.0,1.0,1.0,4.0,8.0
2014-09-18,0,1,1,1,15,1.0,5.0,1.0,1.0,1.0,0.0,0.0,2.0,4.0
2014-09-19,0,1,1,0,7,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-09-20,0,2,1,1,7,1.0,2.0,1.0,1.0,1.0,0.0,0.0,3.0,2.0
2014-09-21,0,1,1,0,6,1.0,2.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2014-09-22,0,1,0,0,8,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
2014-09-23,0,6,8,4,45,4.0,1.0,4.0,9.0,11.0,3.0,3.0,5.0,11.0
2014-09-24,0,2,3,2,39,1.0,1.0,1.0,2.0,3.0,2.0,5.0,3.0,6.0
2014-09-25,0,0,1,0,11,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0
2014-09-26,0,0,1,0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2014-09-27,0,0,1,0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2014-09-28,0,0,1,0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
2014-09-29,0,0,1,0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2014-09-30,0,2,5,6,42,2.0,0.0,3.0,4.0,7.0,3.0,0.0,5.0,6.0
2014-10-01,0,1,1,1,12,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-10-02,0,0,1,0,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-03,0,1,1,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2014-10-04,0,2,1,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-05,0,1,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-06,0,0,1,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2014-10-07,0,2,6,4,55,12.0,0.0,0.0,6.0,10.0,2.0,0.0,5.0,10.0
2014-10-08,0,1,1,1,19,7.0,0.0,0.0,1.0,2.0,1.0,0.0,3.0,6.0
2014-10-09,0,0,1,1,11,3.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
2014-10-10,0,0,1,0,7,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-10-11,0,0,0,1,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
2014-10-12,0,0,0,0,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0
2014-10-13,0,0,0,0,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0
2014-10-14,0,3,7,7,32,3.0,0.0,0.0,8.0,1.0,2.0,0.0,7.0,8.0
2014-10-15,0,0,1,1,9,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
2014-10-16,0,0,0,1,5,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-10-17,0,0,0,1,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-18,0,0,0,1,4,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0
2014-10-19,0,0,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0
2014-10-20,0,0,0,1,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-21,0,4,4,4,40,3.0,0.0,0.0,4.0,1.0,3.0,0.0,4.0,9.0
2014-10-22,0,1,1,1,10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0
2014-10-23,0,0,0,1,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
2014-10-24,0,0,0,0,4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-25,0,0,1,1,4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-26,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0
2014-10-27,0,0,0,1,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-10-28,0,0,4,2,30,4.0,0.0,0.0,2.0,1.0,3.0,0.0,4.0,5.0
2014-10-29,0,0,1,1,8,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-10-30,0,0,0,1,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0
2014-10-31,0,0,0,1,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
2014-11-01,0,0,0,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-11-02,0,0,0,1,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2014-11-03,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
2014-11-04,0,0,3,3,33,2.0,0.0,0.0,4.0,1.0,6.0,0.0,4.0,6.0
