date,John O'Hurley,Kelly Monaco,Evander Holyfield,Rachel Hunter,Dancing with the Stars,Joey McIntyre,Trista Sutter
2005-06-01,0,4,0,10,8,0.0,0.0
2005-06-02,0,11,0,9,44,0.0,0.0
2005-06-03,0,4,0,4,8,0.0,0.0
2005-06-04,0,0,0,16,0,0.0,0.0
2005-06-05,0,0,0,0,5,0.0,0.0
2005-06-06,0,4,0,5,9,0.0,0.0
2005-06-07,0,0,0,0,7,0.0,0.0
2005-06-08,0,0,0,0,11,0.0,0.0
2005-06-09,0,34,0,8,52,0.0,0.0
2005-06-10,0,20,0,0,18,0.0,4.0
2005-06-11,0,8,0,0,7,0.0,0.0
2005-06-12,0,7,0,5,14,0.0,0.0
2005-06-13,0,6,0,0,4,0.0,0.0
2005-06-14,0,6,0,4,10,0.0,0.0
2005-06-15,0,5,0,5,13,0.0,0.0
2005-06-16,0,29,6,14,67,4.0,0.0
2005-06-17,0,8,0,4,12,0.0,0.0
2005-06-18,0,0,0,6,11,0.0,0.0
2005-06-19,0,0,0,0,0,0.0,0.0
2005-06-20,0,6,0,4,6,0.0,0.0
2005-06-21,0,6,0,0,9,0.0,0.0
2005-06-22,0,10,0,0,16,0.0,0.0
2005-06-23,0,40,0,21,71,6.0,0.0
2005-06-24,0,17,0,7,21,0.0,0.0
2005-06-25,0,12,0,5,10,0.0,0.0
2005-06-26,0,12,0,0,11,0.0,0.0
2005-06-27,0,11,0,5,8,0.0,0.0
2005-06-28,0,17,0,6,14,0.0,0.0
2005-06-29,0,16,0,6,23,0.0,0.0
2005-06-30,0,66,0,10,100,6.0,0.0
2005-07-01,0,31,0,8,24,0.0,0.0
2005-07-02,0,22,0,8,14,0.0,0.0
2005-07-03,0,15,0,0,6,0.0,0.0
2005-07-04,0,19,0,5,17,0.0,0.0
2005-07-05,0,14,0,4,9,0.0,0.0
2005-07-06,0,32,0,5,36,0.0,0.0
