date,Suzanne Somers,Willow Shields,Riker Lynch,Rumer Willis,Dancing with the Stars,Nastia Liukin,Michael Sam,Robert Herjavec,Charlotte McKinney,Noah Galloway,Redfoo,Patti LaBelle,Chris Soules
2015-03-16,2,3,1,2,27,1.0,1.0,1.0,4.0,1.0,1.0,1.0,7.0
2015-03-17,25,19,10,29,100,6.0,6.0,14.0,29.0,18.0,13.0,30.0,12.0
2015-03-18,4,3,2,6,24,1.0,2.0,5.0,11.0,3.0,2.0,4.0,5.0
2015-03-19,2,2,1,3,13,1.0,1.0,5.0,6.0,1.0,1.0,5.0,4.0
2015-03-20,1,1,1,2,8,0.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0
2015-03-21,2,1,1,2,9,0.0,1.0,3.0,4.0,1.0,1.0,2.0,3.0
2015-03-22,1,1,1,2,8,0.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0
2015-03-23,1,1,1,2,11,0.0,2.0,2.0,3.0,1.0,0.0,1.0,3.0
2015-03-24,12,9,9,16,83,6.0,5.0,14.0,18.0,6.0,21.0,15.0,7.0
2015-03-25,2,2,2,8,20,2.0,2.0,5.0,7.0,2.0,3.0,4.0,4.0
2015-03-26,1,1,1,2,7,0.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0
2015-03-27,1,1,1,2,7,1.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0
2015-03-28,1,1,1,2,8,1.0,2.0,2.0,3.0,0.0,1.0,1.0,2.0
2015-03-29,1,1,1,2,7,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0
2015-03-30,1,1,1,1,9,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
2015-03-31,9,11,9,14,80,6.0,3.0,10.0,25.0,3.0,1.0,12.0,5.0
2015-04-01,2,2,2,5,18,1.0,1.0,2.0,11.0,1.0,0.0,2.0,3.0
2015-04-02,1,1,1,2,9,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0
2015-04-03,1,1,1,2,9,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0
2015-04-04,1,1,1,2,8,1.0,1.0,3.0,4.0,1.0,1.0,2.0,2.0
2015-04-05,1,1,1,2,11,0.0,1.0,2.0,4.0,1.0,0.0,2.0,2.0
2015-04-06,1,1,1,3,14,1.0,1.0,3.0,4.0,1.0,0.0,1.0,2.0
2015-04-07,12,6,11,17,68,5.0,6.0,9.0,8.0,7.0,0.0,15.0,4.0
2015-04-08,3,2,2,4,17,1.0,1.0,2.0,8.0,3.0,0.0,3.0,2.0
2015-04-09,2,1,1,2,12,0.0,1.0,1.0,4.0,3.0,0.0,1.0,2.0
2015-04-10,1,1,1,3,9,1.0,1.0,1.0,3.0,2.0,0.0,1.0,1.0
2015-04-11,1,1,1,3,7,0.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0
2015-04-12,1,0,1,2,6,0.0,0.0,1.0,2.0,1.0,0.0,1.0,2.0
2015-04-13,1,1,1,2,10,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
2015-04-14,15,6,7,9,64,3.0,1.0,6.0,2.0,3.0,0.0,8.0,4.0
2015-04-15,4,1,2,3,15,1.0,1.0,2.0,4.0,1.0,0.0,1.0,2.0
2015-04-16,2,1,1,2,9,0.0,1.0,1.0,14.0,1.0,0.0,1.0,2.0
2015-04-17,3,1,1,2,7,0.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0
2015-04-18,6,1,1,2,7,1.0,1.0,2.0,3.0,1.0,0.0,1.0,2.0
2015-04-19,2,1,1,2,7,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0
2015-04-20,1,0,1,1,9,1.0,1.0,1.0,4.0,1.0,0.0,1.0,2.0
2015-04-21,3,5,14,13,57,3.0,1.0,7.0,4.0,4.0,0.0,10.0,3.0
2015-04-22,1,1,2,13,15,1.0,1.0,2.0,2.0,1.0,0.0,2.0,2.0
2015-04-23,1,0,1,5,8,1.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
2015-04-24,2,0,1,5,8,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
2015-04-25,2,1,1,3,7,0.0,1.0,1.0,2.0,1.0,0.0,1.0,2.0
2015-04-26,1,1,1,2,6,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0
2015-04-27,1,0,1,1,8,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0
2015-04-28,1,13,5,9,64,3.0,1.0,6.0,2.0,2.0,0.0,1.0,4.0
2015-04-29,1,4,1,3,31,1.0,1.0,1.0,2.0,1.0,0.0,4.0,2.0
2015-04-30,1,1,1,2,11,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
2015-05-01,1,1,1,1,8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
2015-05-02,0,1,1,2,8,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0
2015-05-03,1,1,1,1,8,0.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0
2015-05-04,1,0,1,1,10,1.0,1.0,1.0,4.0,0.0,0.0,1.0,2.0
