date,Gary Busey,Alexa PenaVega,Carlos PenaVega,Victor Espinoza,Dancing with the Stars,Alek Skarlatos,Chaka Khan,Andy Grammer,Tamar Braxton,Nick Carter,Hayes Grier,Bindi Irwin,Kim Zolciak-Biermann,Paula Deen
2015-09-14,2,1,0,0,24,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,4.0
2015-09-15,41,7,5,3,100,5.0,16.0,10.0,7.0,19.0,23.0,23.0,0.0,18.0
2015-09-16,16,3,3,1,43,2.0,6.0,4.0,3.0,10.0,10.0,11.0,0.0,9.0
2015-09-17,3,1,1,0,14,1.0,1.0,1.0,2.0,2.0,3.0,4.0,0.0,4.0
2015-09-18,3,0,0,0,9,1.0,1.0,1.0,2.0,2.0,3.0,3.0,0.0,3.0
2015-09-19,3,1,1,0,9,0.0,1.0,2.0,2.0,2.0,3.0,3.0,0.0,4.0
2015-09-20,2,1,0,0,8,0.0,1.0,1.0,2.0,2.0,3.0,2.0,0.0,5.0
2015-09-21,2,0,0,0,10,0.0,1.0,1.0,2.0,1.0,2.0,3.0,0.0,3.0
2015-09-22,20,3,3,3,68,3.0,9.0,9.0,6.0,5.0,15.0,11.0,0.0,13.0
2015-09-23,15,3,3,5,68,2.0,2.0,6.0,6.0,5.0,9.0,11.0,0.0,9.0
2015-09-24,4,1,1,1,16,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,4.0
2015-09-25,2,1,0,0,11,0.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0
2015-09-26,2,1,0,0,10,0.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,5.0
2015-09-27,2,1,0,0,8,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0
2015-09-28,1,0,0,0,10,0.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,3.0
2015-09-29,9,2,1,0,50,2.0,1.0,7.0,4.0,6.0,5.0,8.0,1.0,7.0
2015-09-30,2,0,1,0,14,0.0,1.0,1.0,2.0,2.0,2.0,2.0,0.0,3.0
2015-10-01,1,0,0,0,7,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,3.0
2015-10-02,1,0,0,0,6,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,3.0
2015-10-03,1,0,0,0,6,1.0,1.0,1.0,3.0,1.0,2.0,1.0,0.0,5.0
2015-10-04,1,0,0,0,6,1.0,0.0,1.0,3.0,1.0,2.0,1.0,0.0,5.0
2015-10-05,1,0,0,0,8,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0
2015-10-06,14,2,2,0,57,2.0,1.0,6.0,9.0,11.0,7.0,21.0,0.0,11.0
2015-10-07,3,1,1,0,18,1.0,0.0,2.0,4.0,3.0,2.0,13.0,0.0,4.0
2015-10-08,2,0,0,0,13,2.0,1.0,1.0,3.0,1.0,1.0,7.0,0.0,3.0
2015-10-09,1,0,0,0,8,1.0,1.0,1.0,3.0,1.0,1.0,4.0,0.0,4.0
2015-10-10,1,0,0,0,7,1.0,1.0,1.0,2.0,1.0,2.0,4.0,0.0,5.0
2015-10-11,1,0,0,0,6,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,4.0
2015-10-12,1,0,0,0,8,0.0,0.0,1.0,2.0,1.0,2.0,2.0,0.0,3.0
2015-10-13,1,5,5,0,45,5.0,0.0,8.0,5.0,4.0,6.0,11.0,0.0,8.0
2015-10-14,1,1,1,0,13,1.0,1.0,2.0,2.0,1.0,2.0,3.0,0.0,4.0
2015-10-15,1,0,0,0,7,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0
2015-10-16,1,0,0,0,7,0.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,3.0
2015-10-17,1,0,0,0,6,0.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,5.0
2015-10-18,1,0,0,0,5,0.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,5.0
2015-10-19,1,0,0,0,7,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,3.0
2015-10-20,1,3,4,0,52,2.0,0.0,4.0,5.0,4.0,4.0,15.0,0.0,9.0
2015-10-21,1,1,1,0,14,0.0,0.0,1.0,2.0,1.0,2.0,5.0,0.0,4.0
2015-10-22,1,0,1,0,8,0.0,0.0,1.0,2.0,1.0,1.0,3.0,0.0,3.0
2015-10-23,1,0,0,0,5,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0
2015-10-24,1,0,0,0,6,0.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,5.0
2015-10-25,1,0,0,0,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,5.0
2015-10-26,1,0,0,0,7,0.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,3.0
2015-10-27,1,2,1,0,41,1.0,0.0,4.0,4.0,3.0,7.0,9.0,0.0,4.0
2015-10-28,1,0,0,0,12,0.0,0.0,2.0,2.0,3.0,2.0,6.0,0.0,3.0
2015-10-29,1,0,0,0,6,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0
2015-10-30,1,0,0,0,5,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,3.0
2015-10-31,1,0,0,1,5,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0
2015-11-01,1,0,0,0,4,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0
2015-11-02,1,0,0,0,6,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0
2015-11-03,1,2,3,0,41,3.0,0.0,9.0,4.0,8.0,1.0,8.0,0.0,3.0
2015-11-04,0,0,0,0,10,1.0,0.0,2.0,2.0,2.0,1.0,3.0,0.0,3.0
2015-11-05,0,0,0,0,7,0.0,0.0,1.0,2.0,1.0,1.0,9.0,0.0,3.0
2015-11-06,1,0,0,0,6,0.0,0.0,1.0,2.0,1.0,1.0,9.0,0.0,3.0
2015-11-07,0,0,0,0,5,0.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,4.0
2015-11-08,1,0,0,0,5,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,6.0
2015-11-09,0,0,0,0,5,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,3.0
2015-11-10,1,7,4,0,51,2.0,0.0,1.0,20.0,3.0,1.0,13.0,0.0,3.0
2015-11-11,0,2,1,0,18,0.0,0.0,1.0,14.0,1.0,1.0,4.0,0.0,3.0
2015-11-12,0,1,1,0,10,0.0,0.0,1.0,10.0,1.0,1.0,2.0,0.0,3.0
2015-11-13,1,1,0,0,6,0.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,3.0
2015-11-14,0,1,0,0,6,0.0,0.0,1.0,4.0,0.0,1.0,2.0,0.0,5.0
2015-11-15,1,0,0,0,5,0.0,1.0,1.0,3.0,1.0,1.0,2.0,0.0,6.0
2015-11-16,1,0,0,0,7,0.0,0.0,1.0,3.0,0.0,1.0,2.0,0.0,5.0
2015-11-17,1,1,4,0,44,4.0,1.0,1.0,7.0,6.0,1.0,10.0,0.0,4.0
2015-11-18,1,0,1,0,11,1.0,0.0,1.0,3.0,1.0,1.0,3.0,0.0,5.0
2015-11-19,0,0,0,0,6,0.0,0.0,1.0,3.0,1.0,1.0,2.0,0.0,5.0
2015-11-20,0,0,0,0,4,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0
2015-11-21,1,0,0,0,6,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,8.0
2015-11-22,1,0,0,0,5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,11.0
2015-11-23,0,0,0,0,10,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,8.0
2015-11-24,1,1,8,0,76,4.0,0.0,1.0,2.0,8.0,1.0,25.0,0.0,12.0
