date,Calvin Johnson Jr.,Laurie Hernandez,Amber Rose,Rick Perry,Dancing with the Stars,Jake T. Austin,Maureen McCormick,Marilu Henner,Ryan Lochte,James Hinchcliffe,Babyface,Vanilla Ice,Jana Kramer,Terra Jole
2016-09-11,0,0,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-09-12,0,1,2,0,9,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0
2016-09-13,0,5,17,4,100,0.0,9.0,5.0,66.0,1.0,5.0,9.0,10.0,3.0
2016-09-14,0,1,5,1,17,0.0,2.0,1.0,12.0,0.0,1.0,3.0,3.0,1.0
2016-09-15,0,1,3,0,8,0.0,1.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0
2016-09-16,0,1,2,0,4,0.0,0.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
2016-09-17,0,0,2,0,4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
2016-09-18,0,0,2,0,3,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
2016-09-19,0,0,2,0,4,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0
2016-09-20,0,2,8,2,24,0.0,7.0,3.0,5.0,1.0,3.0,5.0,4.0,1.0
2016-09-21,0,1,7,1,25,0.0,3.0,2.0,4.0,0.0,1.0,4.0,5.0,1.0
2016-09-22,0,0,3,0,7,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0
2016-09-23,0,0,3,0,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-09-24,0,0,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2016-09-25,0,0,2,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2016-09-26,0,0,2,0,4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-09-27,0,1,7,1,11,0.0,1.0,2.0,1.0,0.0,1.0,2.0,3.0,1.0
2016-09-28,0,1,8,2,18,0.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0
2016-09-29,0,0,3,0,5,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0
2016-09-30,0,0,5,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-10-01,0,0,6,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-10-02,0,0,6,0,2,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-10-03,0,0,4,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2016-10-04,0,3,13,0,18,0.0,6.0,3.0,3.0,1.0,1.0,2.0,3.0,1.0
2016-10-05,0,1,7,0,20,0.0,1.0,1.0,1.0,0.0,1.0,2.0,3.0,1.0
2016-10-06,0,1,3,0,5,0.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0
