date,Sasha Pieterse,Frankie Muniz,Jordan Fisher,Derek Fisher,Dancing with the Stars,Nikki Bella,Terrell Owens,Victoria Arlen,Barbara Corcoran,Lindsey Stirling,Debbie Gibson,Nick Lachey,Drew Scott,Vanessa Lachey
2017-09-18,2,1,1,1,29,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0756302521008405
2017-09-19,11,55,19,7,100,12.0,8.0,19.0,27.0,14.0,31.0,14.0,6.0,11.831932773109246
2017-09-20,3,11,4,1,22,4.0,1.0,4.0,4.0,4.0,5.0,3.0,2.0,2.151260504201681
2017-09-21,1,4,2,1,11,3.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0756302521008405
2017-09-22,1,3,1,1,9,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0756302521008405
2017-09-23,1,3,1,1,8,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0756302521008405
2017-09-24,1,3,1,1,7,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-09-25,1,2,1,0,13,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-09-26,6,14,8,4,72,6.0,5.0,9.0,13.0,9.0,16.0,6.0,3.0,6.453781512605043
2017-09-27,17,15,11,3,85,6.0,5.0,9.0,3.0,9.0,26.0,6.0,4.0,5.378151260504202
2017-09-28,8,5,3,1,18,5.0,1.0,2.0,1.0,4.0,5.0,2.0,1.0,2.151260504201681
2017-09-29,4,2,1,1,9,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0756302521008405
2017-09-30,3,3,2,1,8,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0756302521008405
2017-10-01,2,2,1,0,8,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0756302521008405
2017-10-02,1,2,1,0,9,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-03,4,11,6,2,63,7.0,3.0,7.0,1.0,15.0,2.0,5.0,3.0,8.605042016806724
2017-10-04,1,2,2,0,21,3.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,5.378151260504202
2017-10-05,1,2,1,0,10,3.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,2.151260504201681
2017-10-06,1,1,1,0,8,2.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0756302521008405
2017-10-07,1,1,1,0,8,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-08,1,1,1,0,7,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-09,1,1,1,0,10,2.0,4.0,0.0,2.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-10,5,19,22,13,74,7.0,8.0,6.0,1.0,10.0,1.0,14.0,3.0,12.907563025210086
2017-10-11,2,6,6,2,16,3.0,2.0,1.0,1.0,4.0,1.0,3.0,1.0,3.2268907563025215
2017-10-12,1,5,3,1,9,3.0,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0756302521008405
2017-10-13,2,4,2,1,7,2.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,1.0756302521008405
2017-10-14,1,4,2,1,7,3.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-15,1,3,1,0,7,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0756302521008405
2017-10-16,1,2,1,0,8,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0
2017-10-17,9,10,14,1,59,6.0,4.0,4.0,0.0,7.0,1.0,5.0,3.0,4.302521008403362
2017-10-18,3,3,4,0,13,3.0,1.0,1.0,0.0,3.0,0.0,2.0,1.0,1.0756302521008405
2017-10-19,1,2,3,0,8,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0756302521008405
2017-10-20,1,1,2,0,6,2.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0
2017-10-21,1,2,2,0,6,3.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.0756302521008405
2017-10-22,1,1,2,1,6,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0756302521008405
2017-10-23,1,1,4,0,8,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0756302521008405
2017-10-24,1,6,9,0,54,5.0,4.0,4.0,0.0,7.0,0.0,6.0,2.0,4.302521008403362
2017-10-25,0,2,2,0,13,3.0,1.0,1.0,0.0,3.0,0.0,1.0,1.0,1.0756302521008405
2017-10-26,0,1,2,0,7,6.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0756302521008405
2017-10-27,1,1,1,0,6,4.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0756302521008405
2017-10-28,0,1,1,0,5,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0756302521008405
2017-10-29,1,1,1,0,5,3.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0
2017-10-30,1,1,1,3,8,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0756302521008405
2017-10-31,1,6,4,1,52,6.0,3.0,2.0,0.0,10.0,0.0,2.0,2.0,3.2268907563025215
2017-11-01,0,1,1,1,12,3.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0756302521008405
2017-11-02,0,1,1,1,7,3.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0756302521008405
2017-11-03,0,1,1,1,6,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0
2017-11-04,0,1,1,0,6,2.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0756302521008405
2017-11-05,0,1,1,0,6,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0
2017-11-06,0,1,1,0,6,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
2017-11-07,0,9,9,0,57,3.0,6.0,4.0,0.0,6.0,0.0,1.0,2.0,1.0756302521008405
2017-11-08,0,2,3,0,13,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0
2017-11-09,0,1,1,0,8,2.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0756302521008405
2017-11-10,0,1,1,0,6,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,1.0756302521008405
2017-11-11,1,1,2,0,6,2.0,1.0,0.0,0.0,3.0,1.0,1.0,2.0,1.0756302521008405
2017-11-12,1,1,2,0,6,2.0,1.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0
2017-11-13,0,1,1,0,9,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0
2017-11-14,0,11,14,0,65,2.0,1.0,14.0,0.0,11.0,1.0,1.0,3.0,0.0
