date,Jamie Anderson,Johnny Damon,Kareem Abdul-Jabbar,Arike Ogunbowale,Dancing with the Stars,Jennie Finch Daigle,Chris Mazdzer,Mirai Nagasu,Tonya Harding,Josh Norman,Adam Rippon
2018-04-30,0,1,0,0,27,0.0,1.072289156626506,0.0,6.433734939759036,1.0,1.0
2018-05-01,6,13,3,3,100,1.072289156626506,3.216867469879518,4.289156626506024,66.48192771084338,10.0,9.0
2018-05-02,1,2,1,0,23,0.0,1.072289156626506,1.072289156626506,15.012048192771084,3.0,2.0
2018-05-03,0,1,0,0,12,0.0,0.0,1.072289156626506,8.578313253012048,1.0,1.0
2018-05-04,0,1,0,0,9,0.0,0.0,0.0,6.433734939759036,1.0,1.0
2018-05-05,0,1,0,0,9,0.0,0.0,0.0,8.578313253012048,1.0,1.0
2018-05-06,0,1,0,0,10,0.0,0.0,1.072289156626506,8.578313253012048,1.0,1.0
2018-05-07,0,1,0,0,13,0.0,0.0,0.0,6.433734939759036,0.0,1.0
2018-05-08,1,1,2,3,69,1.072289156626506,3.216867469879518,2.144578313253012,21.44578313253012,6.0,3.0
2018-05-09,0,0,1,0,14,0.0,1.072289156626506,1.072289156626506,6.433734939759036,2.0,1.0
2018-05-10,0,0,0,0,8,0.0,0.0,0.0,4.289156626506024,1.0,1.0
2018-05-11,0,0,0,0,7,0.0,0.0,0.0,4.289156626506024,1.0,1.0
2018-05-12,0,0,0,0,7,0.0,0.0,0.0,6.433734939759036,1.0,1.0
2018-05-13,0,1,1,0,8,0.0,0.0,0.0,9.650602409638555,1.0,1.0
2018-05-14,0,0,0,0,10,0.0,0.0,0.0,5.36144578313253,1.0,1.0
2018-05-15,0,0,0,0,66,1.072289156626506,3.216867469879518,3.216867469879518,32.16867469879518,8.0,7.0
2018-05-16,0,0,0,0,13,0.0,1.072289156626506,1.072289156626506,7.506024096385542,1.0,2.0
2018-05-17,0,0,0,0,7,0.0,0.0,0.0,4.289156626506024,1.0,1.0
2018-05-18,0,0,0,0,6,0.0,0.0,0.0,3.216867469879518,0.0,1.0
2018-05-19,0,1,0,0,6,0.0,0.0,0.0,5.36144578313253,1.0,1.0
2018-05-20,0,1,0,0,7,0.0,0.0,0.0,6.433734939759036,1.0,1.0
2018-05-21,0,0,0,0,14,0.0,0.0,0.0,4.289156626506024,1.0,1.0
