date,Juan Pablo Di Pace,Evanna Lynch,Nancy McKeon,John Schneider,Dancing with the Stars,Milo Manheim,Danelle Umstead,Mary Lou Retton,DeMarcus Ware,Nikki Glaser,Bobby Bones,Tinashe,Alexis Ren,Joe Amabile
2018-09-24,0,1,1,1,25,1.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0,0.0
2018-09-25,4,5,16,20,100,5.0,5.0,28.0,10.0,3.0,22.0,6.0,11.0,3.0
2018-09-26,2,2,11,8,88,3.0,5.0,17.0,4.0,9.0,11.0,4.0,13.0,2.0
2018-09-27,0,1,2,2,17,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,0.0
2018-09-28,0,0,1,1,10,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0
2018-09-29,0,1,1,1,10,1.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0
2018-09-30,0,0,1,1,10,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
2018-10-01,0,0,1,1,11,0.0,0.0,0.0,1.0,0.0,2.0,1.0,3.0,0.0
2018-10-02,1,3,5,7,55,7.0,3.0,9.0,6.0,1.0,11.0,4.0,7.0,1.0
2018-10-03,2,3,4,5,54,10.0,4.0,7.0,3.0,3.0,9.0,3.0,8.0,1.0
2018-10-04,0,1,1,1,12,2.0,1.0,1.0,1.0,7.0,3.0,1.0,2.0,0.0
2018-10-05,0,0,1,1,9,1.0,0.0,1.0,0.0,3.0,2.0,1.0,2.0,0.0
2018-10-06,0,0,1,1,8,2.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0
2018-10-07,0,0,0,1,12,1.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0
2018-10-08,0,0,0,1,38,1.0,0.0,1.0,0.0,5.0,2.0,1.0,1.0,0.0
2018-10-09,4,4,10,10,62,9.0,0.0,11.0,10.0,4.0,14.0,5.0,9.0,1.0
2018-10-10,1,1,1,2,17,2.0,0.0,1.0,2.0,3.0,4.0,2.0,2.0,0.0
2018-10-11,0,0,1,1,9,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
2018-10-12,0,0,1,1,6,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0
2018-10-13,0,0,1,1,6,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018-10-14,0,0,0,1,9,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2018-10-15,0,0,0,1,20,1.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0
2018-10-16,2,2,1,3,47,5.0,0.0,5.0,3.0,1.0,8.0,5.0,5.0,1.0
2018-10-17,0,1,0,0,12,1.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0
