date,Kate Flannery,James Van Der Beek,Kel Mitchell,Ray Lewis,Dancing with the Stars,Lamar Odom,Sailor Brinkley-Cook,Sean Spicer,Mary Wilson,Lauren Alaina,Ally Brooke,Karamo Brown,Hannah Brown
2019-09-16,1,1,0,2,27,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0
2019-09-17,7,18,4,16,100,14.0,1.0,30.0,12.0,10.0,9.0,4.0,20.0
2019-09-18,1,4,1,3,22,3.0,0.0,11.0,2.0,3.0,1.0,1.0,8.0
2019-09-19,0,2,0,2,11,2.0,0.0,4.0,1.0,1.0,1.0,0.0,4.0
2019-09-20,0,1,0,2,8,2.0,0.0,3.0,1.0,1.0,1.0,0.0,2.0
2019-09-21,0,1,0,2,8,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
2019-09-22,0,1,0,2,8,1.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0
2019-09-23,0,1,0,2,11,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0
2019-09-24,5,6,9,8,60,12.0,0.0,8.0,13.0,7.0,6.0,4.0,16.0
2019-09-25,1,1,1,2,13,2.0,0.0,2.0,2.0,2.0,1.0,1.0,5.0
2019-09-26,0,2,1,1,8,2.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
2019-09-27,0,1,0,1,6,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0
2019-09-28,0,1,0,1,6,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2019-09-29,0,1,0,2,5,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
2019-09-30,0,1,0,2,10,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
2019-10-01,7,7,3,11,58,5.0,0.0,10.0,1.0,4.0,8.0,3.0,13.0
2019-10-02,1,1,1,2,11,1.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0
2019-10-03,0,1,0,2,7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-10-04,0,0,0,1,5,1.0,0.0,2.0,1.0,1.0,1.0,0.0,2.0
2019-10-05,0,1,1,2,5,1.0,0.0,1.0,1.0,1.0,1.0,0.0,3.0
2019-10-06,0,1,1,2,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
2019-10-07,0,0,1,1,6,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-08,4,13,11,2,43,19.0,0.0,7.0,0.0,4.0,5.0,3.0,9.0
2019-10-09,1,3,2,1,10,5.0,0.0,1.0,0.0,1.0,1.0,1.0,4.0
2019-10-10,0,1,1,1,6,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-10-11,0,1,1,1,5,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-12,0,1,1,1,5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
2019-10-13,0,1,1,1,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-10-14,0,1,0,1,8,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-15,4,5,4,1,47,1.0,0.0,9.0,0.0,4.0,10.0,5.0,10.0
2019-10-16,1,1,1,1,10,1.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
2019-10-17,0,1,1,1,6,4.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0
2019-10-18,0,1,0,1,4,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-10-19,0,1,1,1,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-10-20,0,1,1,1,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-21,0,1,0,1,6,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-22,6,5,3,1,53,2.0,0.0,12.0,0.0,11.0,4.0,5.0,10.0
2019-10-23,1,1,1,1,13,3.0,0.0,2.0,0.0,4.0,1.0,1.0,3.0
2019-10-24,1,1,0,1,7,4.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0
2019-10-25,0,1,0,1,6,3.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
2019-10-26,0,0,1,1,6,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-27,0,0,0,1,6,2.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-28,0,0,0,1,7,6.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-10-29,6,3,2,1,46,2.0,0.0,8.0,0.0,4.0,3.0,3.0,7.0
2019-10-30,1,1,0,1,11,2.0,0.0,3.0,1.0,1.0,0.0,0.0,5.0
2019-10-31,1,1,0,1,7,2.0,0.0,2.0,0.0,1.0,0.0,0.0,3.0
2019-11-01,0,1,0,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-11-02,0,1,0,1,5,2.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0
2019-11-03,0,0,0,1,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0
2019-11-04,0,0,0,6,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-11-05,9,5,4,1,63,1.0,0.0,19.0,0.0,5.0,7.0,1.0,11.0
2019-11-06,1,1,1,1,14,1.0,0.0,7.0,0.0,1.0,1.0,2.0,3.0
2019-11-07,1,1,0,1,7,2.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0
2019-11-08,0,1,0,1,6,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0
2019-11-09,0,1,0,1,5,1.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0
2019-11-10,0,1,1,1,5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0
2019-11-11,1,0,0,1,7,1.0,0.0,1.0,0.0,1.0,1.0,0.0,9.0
2019-11-12,0,8,5,1,60,5.0,0.0,19.0,0.0,11.0,6.0,0.0,14.0
2019-11-13,0,1,1,1,10,4.0,0.0,4.0,0.0,3.0,1.0,0.0,4.0
2019-11-14,0,1,0,2,6,2.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0
2019-11-15,0,0,0,2,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
2019-11-16,0,1,0,1,4,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0
2019-11-17,0,1,1,2,4,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2019-11-18,0,0,0,1,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2019-11-19,0,54,7,1,65,1.0,0.0,2.0,0.0,10.0,8.0,0.0,16.0
2019-11-20,1,11,1,1,12,1.0,0.0,1.0,0.0,2.0,2.0,0.0,5.0
2019-11-21,0,4,0,1,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2019-11-22,0,3,0,1,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0
2019-11-23,0,2,0,1,5,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
2019-11-24,0,1,0,2,5,1.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2019-11-25,0,1,1,2,9,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
