date,Anne Heche,Jesse Metcalfe,Chrishell Stause,Skai Jackson,Dancing with the Stars,Justina Machado,Charles Oakley,Veron Davis,Johnny Weir,Nev Schulman,AJ McLean,Nelly,Kaitlyn Bristowe,Carole Baskin,Monica Aldama,Jeannie Mai
2020-09-14,1,1,1,2,25,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0
2020-09-15,19,13,6,27,100,5.0,12.0,0.0,6.0,3.0,3.0,16.0,7.0,44.0,5.0,5.0
2020-09-16,3,3,2,7,30,2.0,2.0,0.0,1.0,1.0,1.0,6.0,2.0,17.0,1.0,1.0
2020-09-17,2,2,2,4,14,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,8.0,0.0,1.0
2020-09-18,1,1,1,3,10,1.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,6.0,3.0,3.0
2020-09-19,1,1,1,2,8,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,1.0,1.0
2020-09-20,1,1,1,2,7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,1.0
2020-09-21,1,0,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0
2020-09-22,1,0,1,1,21,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0
2020-09-23,12,9,16,10,55,6.0,12.0,0.0,2.0,3.0,3.0,7.0,6.0,13.0,3.0,5.0
2020-09-24,2,2,2,3,14,1.0,2.0,0.0,1.0,1.0,0.0,4.0,2.0,5.0,1.0,1.0
2020-09-25,1,1,2,3,9,1.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,1.0
2020-09-26,1,1,2,2,7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,0.0,1.0
2020-09-27,1,1,1,2,7,0.0,1.0,0.0,0.0,0.0,0.0,4.0,1.0,5.0,0.0,0.0
2020-09-28,1,1,1,2,11,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,6.0,0.0,1.0
2020-09-29,9,6,5,9,47,3.0,1.0,0.0,5.0,3.0,2.0,10.0,4.0,16.0,3.0,5.0
2020-09-30,1,1,2,2,10,1.0,0.0,0.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0
2020-10-01,1,1,2,1,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
2020-10-02,1,0,1,1,6,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,1.0
2020-10-03,1,1,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,1.0
2020-10-04,1,1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0
2020-10-05,1,1,1,1,6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0
2020-10-06,21,6,10,12,67,3.0,0.0,0.0,3.0,3.0,2.0,5.0,3.0,3.0,3.0,4.0
2020-10-07,7,2,3,4,16,1.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0
2020-10-08,3,1,1,2,6,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
2020-10-09,3,2,1,2,5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,2.0
