date,Tatum O'Neal,Tia Carrere,George Hamilton,Lisa Rinna,Dancing with the Stars,Stacy Keibler,Jerry Rice,Giselle Fernandez,Master P,Drew Lachey,Kenny Mayne
2006-01-05,0,1,1,1,14,8.0,1.0,0.0,0.0,0.0,3.0
2006-01-06,0,2,2,4,45,11.0,4.0,3.0,2.0,2.0,2.0
2006-01-07,0,0,0,1,45,5.0,0.0,0.0,1.0,0.0,0.0
2006-01-08,0,0,0,0,17,4.0,1.0,0.0,0.0,0.0,0.0
2006-01-09,0,0,0,1,17,3.0,1.0,0.0,0.0,0.0,1.0
2006-01-10,0,0,0,1,8,2.0,0.0,0.0,0.0,0.0,0.0
2006-01-11,0,0,0,1,6,1.0,1.0,0.0,1.0,0.0,0.0
2006-01-12,0,0,0,1,10,1.0,0.0,0.0,0.0,0.0,0.0
2006-01-13,0,1,6,3,41,15.0,2.0,6.0,3.0,1.0,1.0
2006-01-14,0,2,3,4,61,15.0,2.0,4.0,2.0,0.0,0.0
2006-01-15,0,0,0,2,20,4.0,0.0,0.0,0.0,0.0,0.0
2006-01-16,0,0,0,1,14,4.0,0.0,0.0,0.0,0.0,0.0
2006-01-17,0,0,0,1,9,2.0,1.0,0.0,1.0,0.0,0.0
2006-01-18,0,0,0,2,9,4.0,0.0,0.0,1.0,0.0,0.0
2006-01-19,0,0,0,0,10,2.0,1.0,0.0,0.0,0.0,0.0
2006-01-20,0,2,5,6,37,7.0,1.0,2.0,2.0,2.0,0.0
2006-01-21,0,1,4,4,70,8.0,1.0,3.0,3.0,2.0,0.0
2006-01-22,0,0,0,2,19,5.0,0.0,0.0,2.0,0.0,0.0
2006-01-23,0,0,0,2,17,3.0,1.0,1.0,1.0,0.0,0.0
2006-01-24,0,0,0,1,12,3.0,0.0,1.0,1.0,0.0,0.0
2006-01-25,0,0,0,0,7,2.0,0.0,1.0,0.0,0.0,0.0
2006-01-26,0,0,0,1,9,2.0,1.0,0.0,0.0,0.0,0.0
2006-01-27,0,1,3,6,45,8.0,2.0,0.0,2.0,2.0,0.0
2006-01-28,0,0,2,5,59,6.0,1.0,0.0,4.0,2.0,0.0
2006-01-29,0,0,0,2,20,3.0,0.0,0.0,0.0,0.0,0.0
2006-01-30,0,0,0,1,16,3.0,1.0,1.0,0.0,0.0,0.0
2006-01-31,0,0,0,1,9,2.0,0.0,0.0,0.0,0.0,0.0
2006-02-01,0,0,1,1,5,2.0,1.0,0.0,1.0,0.0,0.0
2006-02-02,0,0,0,1,8,3.0,0.0,0.0,0.0,0.0,0.0
2006-02-03,0,1,5,4,42,11.0,3.0,0.0,1.0,2.0,0.0
2006-02-04,0,2,3,3,51,14.0,2.0,0.0,0.0,1.0,0.0
2006-02-05,0,0,0,2,19,7.0,2.0,0.0,0.0,1.0,0.0
2006-02-06,0,1,0,1,19,7.0,2.0,0.0,0.0,0.0,0.0
2006-02-07,0,1,0,1,9,6.0,0.0,0.0,0.0,0.0,0.0
2006-02-08,0,0,0,1,6,4.0,1.0,0.0,1.0,0.0,0.0
2006-02-09,0,1,0,1,9,4.0,1.0,0.0,0.0,1.0,0.0
2006-02-10,0,0,5,4,40,14.0,2.0,0.0,0.0,2.0,0.0
2006-02-11,0,1,10,3,56,13.0,1.0,0.0,1.0,2.0,0.0
2006-02-12,0,0,1,2,18,6.0,0.0,0.0,0.0,0.0,0.0
2006-02-13,0,0,1,1,15,5.0,0.0,0.0,0.0,0.0,0.0
2006-02-14,0,0,1,1,9,5.0,1.0,0.0,0.0,0.0,0.0
2006-02-15,0,0,0,5,11,5.0,1.0,0.0,0.0,1.0,0.0
2006-02-16,0,0,0,3,14,9.0,1.0,0.0,0.0,0.0,0.0
2006-02-17,0,0,1,6,47,16.0,2.0,0.0,0.0,2.0,0.0
2006-02-18,0,1,1,8,79,14.0,3.0,0.0,0.0,3.0,0.0
2006-02-19,0,0,0,2,27,8.0,1.0,0.0,0.0,1.0,0.0
2006-02-20,0,0,0,4,23,8.0,1.0,0.0,0.0,1.0,0.0
2006-02-21,0,0,1,3,13,7.0,1.0,0.0,1.0,2.0,0.0
2006-02-22,0,0,0,2,8,6.0,1.0,0.0,0.0,0.0,0.0
2006-02-23,0,0,0,3,17,8.0,1.0,0.0,0.0,0.0,0.0
2006-02-24,0,1,0,3,100,17.0,2.0,0.0,0.0,8.0,0.0
2006-02-25,0,1,0,3,33,11.0,1.0,0.0,0.0,3.0,0.0
2006-02-26,0,0,0,2,25,11.0,0.0,0.0,0.0,2.0,0.0
