date,Martin Kove,Brian Austin Green,Melora Hardin,Matt James,Dancing with the Stars,"Mike ""The Miz"" Mizanin",Suni Lee,Iman Shumpert,Cody Rigsby,Melanie C,Jimmie Allen,Olivia Jade,JoJo Siwa,Christine Chiu,Kenya Moore,Amanda Kloots
2021-09-20,0,1,1,1,25,0.0,1.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-09-21,8,19,11,6,100,0.0,8.0,9.0,14.0,5.0,7.0,28.0,32.0,4.0,5.0,22.0
2021-09-22,2,6,2,2,26,0.0,3.0,4.0,2.0,1.0,2.0,8.0,15.0,1.0,2.0,5.0
2021-09-23,1,4,1,1,12,0.0,1.0,2.0,1.0,0.0,1.0,3.0,11.0,0.0,1.0,2.0
2021-09-24,1,2,1,1,8,0.0,1.0,1.0,1.0,0.0,1.0,2.0,8.0,0.0,1.0,1.0
2021-09-25,0,2,1,1,8,0.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,1.0
2021-09-26,1,1,1,1,7,0.0,1.0,1.0,1.0,0.0,1.0,2.0,7.0,0.0,1.0,1.0
2021-09-27,0,1,1,1,16,0.0,1.0,1.0,3.0,0.0,1.0,2.0,6.0,0.0,1.0,1.0
2021-09-28,13,9,7,4,63,0.0,5.0,5.0,6.0,3.0,5.0,9.0,23.0,4.0,5.0,17.0
2021-09-29,2,2,1,3,16,0.0,2.0,1.0,1.0,1.0,1.0,3.0,11.0,1.0,1.0,4.0
2021-09-30,1,1,1,2,9,0.0,2.0,1.0,1.0,0.0,1.0,1.0,9.0,0.0,1.0,2.0
2021-10-01,1,1,0,2,8,0.0,1.0,0.0,5.0,0.0,1.0,1.0,7.0,0.0,1.0,1.0
2021-10-02,1,1,1,2,6,0.0,0.0,1.0,2.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-10-03,1,1,0,1,5,0.0,1.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-10-04,0,1,0,1,8,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0
2021-10-05,1,7,8,4,50,0.0,3.0,4.0,6.0,2.0,7.0,8.0,17.0,7.0,3.0,9.0
2021-10-06,0,2,1,2,13,0.0,1.0,1.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,2.0
2021-10-07,0,1,1,1,7,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,1.0,1.0
2021-10-08,0,1,1,1,6,0.0,0.0,0.0,1.0,0.0,1.0,1.0,5.0,0.0,1.0,1.0
2021-10-09,0,1,1,1,5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-10-10,0,1,1,1,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-10-11,0,1,0,1,9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,1.0,1.0
2021-10-12,0,6,5,3,43,0.0,2.0,5.0,4.0,1.0,5.0,5.0,14.0,0.0,3.0,7.0
2021-10-13,0,8,4,6,49,0.0,3.0,4.0,4.0,2.0,4.0,6.0,15.0,0.0,3.0,5.0
2021-10-14,0,3,1,2,15,0.0,1.0,1.0,1.0,0.0,1.0,2.0,10.0,0.0,1.0,2.0
2021-10-15,0,3,1,1,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,0.0,1.0,1.0
2021-10-16,0,3,1,1,7,0.0,1.0,0.0,0.0,0.0,1.0,4.0,7.0,0.0,1.0,1.0
2021-10-17,0,2,0,1,9,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,1.0,1.0
2021-10-18,0,2,0,1,8,0.0,0.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,1.0
2021-10-19,0,2,5,1,43,0.0,3.0,4.0,6.0,3.0,8.0,8.0,19.0,0.0,5.0,8.0
2021-10-20,0,1,1,1,12,0.0,1.0,1.0,1.0,1.0,1.0,3.0,9.0,0.0,1.0,2.0
