date,Teresa Giudice,Vinny Guadagnino,Shangela,Gabby Windey,Dancing with the Stars,Trevor Donovan,Daniel Durant,Wayne Brady,Sam Champion,Jason Lewis,Cheryl Ladd,Selma Blair,Joseph Baena,Jessie James Decker,Jordin Sparks,Heidi D'Amelio,Charli D'Amelio
2022-09-18,2,0,1,1,15,1.0,0.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0
2022-09-19,2,0,1,1,37,1.0,0.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,0.0,3.0
2022-09-20,6,1,4,3,100,6.0,3.0,8.0,5.0,10.0,6.0,21.0,9.0,4.0,5.0,3.0,10.0
2022-09-21,3,1,2,9,42,2.0,1.0,4.0,2.0,4.0,3.0,10.0,3.0,2.0,2.0,1.0,6.0
2022-09-22,2,1,1,4,25,1.0,1.0,3.0,1.0,3.0,4.0,6.0,2.0,1.0,2.0,1.0,5.0
2022-09-23,1,1,1,2,16,1.0,0.0,2.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0
2022-09-24,1,0,1,1,15,1.0,1.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,5.0
2022-09-25,2,0,1,1,14,1.0,0.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0
2022-09-26,2,0,1,1,24,1.0,0.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,0.0,3.0
2022-09-27,6,1,2,3,60,11.0,3.0,5.0,2.0,1.0,5.0,14.0,4.0,2.0,3.0,1.0,6.0
2022-09-28,3,1,1,2,21,4.0,1.0,3.0,1.0,1.0,2.0,7.0,2.0,1.0,1.0,1.0,7.0
2022-09-29,1,0,1,2,12,2.0,1.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,5.0
2022-09-30,2,1,0,1,10,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0
2022-10-01,1,0,1,1,9,2.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0
2022-10-02,1,0,0,1,9,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,4.0
2022-10-03,1,0,0,1,13,1.0,0.0,1.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0
2022-10-04,1,1,2,2,38,5.0,2.0,4.0,3.0,1.0,6.0,8.0,4.0,2.0,3.0,2.0,8.0
2022-10-05,1,0,1,1,17,2.0,1.0,2.0,1.0,1.0,3.0,5.0,2.0,1.0,2.0,1.0,6.0
2022-10-06,1,0,0,1,12,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,1.0,1.0,0.0,5.0
2022-10-07,1,1,0,1,11,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,6.0
2022-10-08,1,1,0,1,12,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,4.0
2022-10-09,1,1,0,0,11,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,5.0
2022-10-10,1,0,1,0,16,1.0,0.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0
2022-10-11,1,1,2,2,47,4.0,2.0,8.0,4.0,0.0,1.0,6.0,5.0,2.0,4.0,1.0,7.0
2022-10-12,1,1,1,1,17,2.0,1.0,4.0,1.0,0.0,1.0,3.0,2.0,1.0,2.0,1.0,5.0
2022-10-13,1,0,1,1,11,1.0,0.0,2.0,1.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,5.0
2022-10-14,2,1,1,1,8,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,4.0
2022-10-15,2,0,0,1,9,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
2022-10-16,2,0,0,0,9,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
2022-10-17,2,0,0,0,12,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0
2022-10-18,1,1,2,2,41,5.0,1.0,8.0,0.0,0.0,1.0,37.0,8.0,2.0,5.0,3.0,6.0
2022-10-19,2,1,2,3,36,5.0,2.0,7.0,1.0,0.0,1.0,18.0,10.0,3.0,4.0,3.0,7.0
2022-10-20,4,1,1,1,16,2.0,1.0,4.0,0.0,0.0,0.0,8.0,4.0,1.0,2.0,1.0,4.0
2022-10-21,2,1,1,1,10,1.0,1.0,3.0,0.0,0.0,1.0,5.0,2.0,2.0,1.0,1.0,4.0
2022-10-22,1,1,0,1,9,1.0,0.0,3.0,0.0,0.0,1.0,4.0,2.0,2.0,1.0,1.0,4.0
2022-10-23,2,1,0,1,10,2.0,0.0,2.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0
2022-10-24,1,0,0,0,10,1.0,0.0,2.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,4.0
2022-10-25,1,1,3,2,33,3.0,1.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,2.0,1.0,5.0
2022-10-26,1,1,1,1,12,2.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,6.0
2022-10-27,1,0,1,1,8,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,7.0
2022-10-28,1,0,1,1,7,1.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,4.0
2022-10-29,2,0,0,1,7,1.0,0.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,1.0,6.0
2022-10-30,2,0,0,1,6,1.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,6.0
2022-10-31,1,0,0,0,7,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
2022-11-01,1,1,1,2,26,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,1.0,4.0
2022-11-02,1,0,1,2,11,2.0,1.0,2.0,0.0,0.0,1.0,4.0,1.0,1.0,1.0,0.0,4.0
2022-11-03,1,0,1,1,7,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0
2022-11-04,1,0,0,2,6,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0
2022-11-05,1,0,0,4,8,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0
2022-11-06,1,0,0,2,8,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,4.0
2022-11-07,1,0,0,1,7,1.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0
2022-11-08,1,1,2,3,30,3.0,2.0,4.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,5.0
2022-11-09,1,1,1,1,11,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0
2022-11-10,1,0,1,1,8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,4.0
2022-11-11,1,0,0,1,7,1.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0
2022-11-12,1,0,0,1,7,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,4.0
2022-11-13,1,1,1,1,7,1.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,0.0,3.0
2022-11-14,1,0,0,1,8,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0
2022-11-15,0,0,3,6,39,7.0,5.0,6.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,0.0,5.0
2022-11-16,1,1,3,5,15,3.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,4.0
2022-11-17,1,1,1,2,8,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0
2022-11-18,1,1,1,1,7,1.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0
2022-11-19,1,1,1,1,8,1.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,4.0
2022-11-20,1,1,1,1,7,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,4.0
2022-11-21,1,0,1,1,14,1.0,0.0,11.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,3.0
