date,Jamie Lynn Spears,Mira Sorvino,Barry Williams,Alyson Hannigan,Dancing with the Stars,Xochitl Gomez,Adrian Peterson,Matt Walsh,Tyson Beckford,Jason Mraz,Lele Pons,Harry Jowsey,Mauricio Umansky,Charity Lawson,Ariana Madix
2023-09-26,3,1,1,1,29,1.0,2.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
2023-09-27,15,26,32,12,100,8.0,12.0,17.0,8.0,13.0,6.0,14.0,6.0,3.0,14.0
2023-09-28,4,5,6,3,27,3.0,3.0,6.0,2.0,3.0,2.0,4.0,2.0,1.0,6.0
2023-09-29,3,3,3,1,14,1.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0
2023-09-30,2,3,3,1,11,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0
2023-10-01,2,2,2,1,11,1.0,2.0,2.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0
2023-10-02,1,1,1,1,10,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
2023-10-03,2,1,1,1,18,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
2023-10-04,15,13,10,4,53,8.0,6.0,2.0,4.0,7.0,4.0,6.0,5.0,3.0,5.0
2023-10-05,6,3,2,2,14,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0
2023-10-06,3,2,1,1,9,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
2023-10-07,2,2,1,1,8,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0
2023-10-08,2,1,1,1,7,1.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0
2023-10-09,2,1,1,1,7,1.0,1.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
2023-10-10,1,1,1,1,12,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
2023-10-11,2,13,8,6,50,8.0,5.0,1.0,7.0,10.0,4.0,14.0,6.0,3.0,5.0
2023-10-12,1,3,1,1,12,2.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,1.0
2023-10-13,1,2,1,1,7,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0
2023-10-14,1,1,1,1,6,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0
2023-10-15,1,2,1,1,6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0
2023-10-16,1,1,1,1,6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
2023-10-17,1,1,1,1,11,1.0,1.0,2.0,0.0,1.0,1.0,2.0,0.0,0.0,1.0
2023-10-18,1,9,12,4,48,8.0,6.0,1.0,0.0,6.0,5.0,11.0,3.0,2.0,5.0
2023-10-19,1,3,6,1,15,2.0,2.0,1.0,0.0,2.0,1.0,5.0,1.0,0.0,2.0
2023-10-20,1,2,3,1,9,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0
2023-10-21,1,2,2,1,7,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,0.0,1.0
2023-10-22,2,1,1,1,7,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0
2023-10-23,1,1,1,1,6,1.0,1.0,1.0,0.0,2.0,1.0,2.0,1.0,0.0,1.0
2023-10-24,2,1,1,1,12,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0
2023-10-25,3,13,11,8,55,12.0,1.0,1.0,0.0,9.0,8.0,8.0,9.0,2.0,6.0
2023-10-26,3,13,2,2,25,4.0,1.0,1.0,0.0,3.0,2.0,3.0,12.0,1.0,2.0
2023-10-27,2,3,1,1,12,2.0,1.0,1.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0
2023-10-28,2,2,1,3,7,1.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0
2023-10-29,2,3,1,1,6,1.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0
2023-10-30,2,2,1,1,6,1.0,2.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0
2023-10-31,2,1,1,1,9,1.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0
2023-11-01,1,1,8,4,39,8.0,2.0,1.0,0.0,4.0,3.0,5.0,5.0,1.0,3.0
2023-11-02,2,1,1,1,9,3.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,1.0
2023-11-03,2,1,1,1,6,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0
2023-11-04,2,1,1,2,7,2.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
2023-11-05,2,1,1,1,6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0
2023-11-06,2,1,0,1,5,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2023-11-07,1,1,0,1,8,1.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
2023-11-08,1,1,11,4,47,5.0,1.0,1.0,0.0,5.0,7.0,7.0,1.0,2.0,6.0
2023-11-09,1,1,2,1,11,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0
2023-11-10,1,1,1,1,8,2.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0
2023-11-11,2,1,1,1,7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
2023-11-12,2,1,1,1,7,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0
2023-11-13,1,1,1,1,5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0
2023-11-14,2,1,1,1,8,1.0,1.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0
2023-11-15,1,1,21,8,53,7.0,1.0,1.0,0.0,11.0,1.0,8.0,1.0,3.0,4.0
2023-11-16,3,1,11,1,17,2.0,1.0,1.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0
2023-11-17,4,0,11,1,9,1.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0
2023-11-18,2,1,7,2,7,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0
2023-11-19,2,1,2,1,7,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
2023-11-20,3,0,1,1,6,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
2023-11-21,4,1,1,1,14,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
