date,Tori Spelling,Eric Roberts,Reginald VelJohnson,Chandler Kinney,Dancing with the Stars,Dwight Howard ,Danny Amendola,Stephen Nedoroscik,Ilona Maher,Anna Delvey,Brooks Nader,Phaedra Parks,Jenn Tran,Joey Graziadei
2024-09-17,1,2,1,0,31,0.0,1.0,1.0,2.0,5.0,3.0,0.0,1.0,0.0
2024-09-18,19,32,6,8,100,0.0,18.0,7.0,18.0,57.0,14.0,5.0,6.0,3.0
2024-09-19,5,9,2,2,28,0.0,4.0,3.0,5.0,25.0,4.0,2.0,2.0,2.0
2024-09-20,3,5,1,1,17,0.0,2.0,2.0,3.0,18.0,2.0,1.0,2.0,1.0
2024-09-21,3,5,1,1,16,0.0,2.0,1.0,3.0,13.0,2.0,1.0,2.0,2.0
2024-09-22,3,4,1,1,16,0.0,1.0,1.0,3.0,12.0,2.0,1.0,1.0,2.0
2024-09-23,2,3,1,1,16,0.0,1.0,2.0,2.0,11.0,1.0,0.0,1.0,1.0
2024-09-24,2,2,1,1,26,0.0,1.0,1.0,2.0,8.0,1.0,0.0,1.0,0.0
2024-09-25,21,19,5,10,89,0.0,10.0,4.0,16.0,54.0,17.0,4.0,3.0,3.0
2024-09-26,7,5,2,2,24,0.0,3.0,2.0,5.0,26.0,7.0,1.0,2.0,1.0
2024-09-27,4,3,2,1,14,0.0,2.0,1.0,3.0,14.0,3.0,0.0,1.0,0.0
2024-09-28,3,3,1,1,11,0.0,2.0,1.0,2.0,11.0,3.0,0.0,1.0,0.0
2024-09-29,2,2,1,1,9,0.0,1.0,1.0,2.0,9.0,2.0,0.0,1.0,0.0
2024-09-30,1,2,0,1,9,0.0,1.0,0.0,2.0,7.0,3.0,0.0,1.0,0.0
2024-10-01,1,1,0,0,13,0.0,1.0,1.0,2.0,5.0,2.0,0.0,1.0,0.0
2024-10-02,2,1,1,0,13,0.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,0.0
2024-10-03,1,1,0,0,7,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0
2024-10-04,1,1,0,0,7,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
2024-10-05,1,1,0,0,6,0.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0
2024-10-06,1,1,0,0,6,0.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0
2024-10-07,1,1,0,0,13,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0
2024-10-08,1,11,4,6,46,0.0,5.0,2.0,5.0,2.0,7.0,2.0,3.0,2.0
2024-10-09,1,14,7,8,56,0.0,6.0,2.0,9.0,3.0,10.0,2.0,3.0,2.0
2024-10-10,1,3,2,2,15,0.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,1.0
2024-10-11,1,2,1,1,10,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
2024-10-12,1,2,1,2,9,0.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0
2024-10-13,1,2,1,1,8,0.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,0.0
2024-10-14,1,1,1,1,11,0.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0
2024-10-15,1,1,1,1,15,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0
2024-10-16,1,1,1,4,50,0.0,11.0,2.0,8.0,2.0,20.0,4.0,4.0,2.0
2024-10-17,1,1,0,1,14,0.0,3.0,1.0,3.0,1.0,6.0,1.0,1.0,1.0
2024-10-18,1,1,0,1,10,0.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,1.0
2024-10-19,1,1,0,1,8,0.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0
2024-10-20,1,1,0,1,8,0.0,4.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0
2024-10-21,1,1,0,1,8,0.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
2024-10-22,1,1,0,1,15,0.0,3.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0
2024-10-23,1,1,0,4,60,0.0,10.0,2.0,16.0,2.0,2.0,4.0,5.0,2.0
2024-10-24,1,1,0,1,15,0.0,4.0,1.0,6.0,1.0,1.0,1.0,2.0,1.0
2024-10-25,1,1,0,1,11,0.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0
2024-10-26,1,1,0,1,11,0.0,3.0,1.0,3.0,1.0,2.0,0.0,1.0,1.0
2024-10-27,0,1,0,1,9,0.0,5.0,1.0,4.0,1.0,2.0,0.0,1.0,0.0
2024-10-28,0,1,0,0,9,0.0,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
2024-10-29,1,1,0,0,14,0.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0
