date,Corey Feldman,Danielle Fishel,Elaine Hendrix,Baron Davis,Dancing with the Stars,Jordan Chiles,Andy Richter,Robert Irwin,Hilaria Baldwin,Lauren Jauregui,Scott Hoying,Alix Earle,Jen Affleck,Whitney Leavitt,Dylan Efron
2025-09-16,2,1,0,0,47,1.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
2025-09-17,17,13,16,4,100,2.0,7.0,18.0,13.0,3.0,2.0,9.0,8.0,6.0,10.0
2025-09-18,6,4,3,1,24,1.0,2.0,9.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0
2025-09-19,4,2,2,0,13,1.0,1.0,6.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0
2025-09-20,3,2,2,0,11,0.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-21,2,1,1,0,9,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-22,2,1,1,0,10,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2025-09-23,2,1,1,0,23,0.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2025-09-24,17,6,8,4,72,3.0,5.0,13.0,8.0,3.0,3.0,5.0,7.0,4.0,6.0
2025-09-25,6,2,2,1,15,1.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0
2025-09-26,3,1,1,0,9,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-27,3,1,1,0,9,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-28,2,1,1,0,7,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-29,1,1,0,0,7,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-09-30,1,1,0,0,15,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-10-01,2,5,4,0,62,3.0,7.0,17.0,9.0,6.0,3.0,4.0,5.0,5.0,7.0
2025-10-02,1,3,1,0,17,1.0,2.0,10.0,4.0,2.0,1.0,2.0,1.0,3.0,2.0
2025-10-03,1,1,1,0,9,0.0,1.0,7.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0
2025-10-04,1,1,1,0,8,0.0,1.0,7.0,2.0,1.0,0.0,1.0,1.0,1.0,1.0
2025-10-05,1,1,0,0,7,0.0,1.0,6.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
2025-10-06,1,1,0,0,6,0.0,0.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-10-07,1,0,0,0,14,0.0,1.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
2025-10-08,1,3,6,0,67,2.0,7.0,10.0,13.0,1.0,2.0,5.0,4.0,5.0,5.0
2025-10-09,1,1,2,0,16,1.0,2.0,5.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0
2025-10-10,1,1,1,0,10,1.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0
2025-10-11,1,1,1,0,8,1.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
2025-10-12,1,1,1,0,7,0.0,1.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0
2025-10-13,0,1,1,0,7,0.0,2.0,3.0,3.0,0.0,0.0,2.0,1.0,1.0,2.0
2025-10-14,1,1,1,0,16,0.0,2.0,3.0,3.0,0.0,0.0,1.0,1.0,1.0,2.0
2025-10-15,1,7,6,0,73,3.0,9.0,18.0,3.0,0.0,3.0,8.0,6.0,5.0,21.0
2025-10-16,0,2,1,0,15,1.0,2.0,7.0,2.0,0.0,1.0,2.0,1.0,1.0,6.0
2025-10-17,0,1,1,0,9,0.0,1.0,4.0,1.0,0.0,1.0,2.0,1.0,1.0,3.0
2025-10-18,1,1,1,0,7,0.0,1.0,4.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
2025-10-19,1,1,0,0,6,0.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
2025-10-20,0,1,0,0,5,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-10-21,0,1,0,0,13,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2025-10-22,1,4,8,0,67,2.0,10.0,11.0,1.0,0.0,3.0,4.0,5.0,5.0,8.0
2025-10-23,0,1,2,0,13,1.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0
2025-10-24,0,1,1,0,8,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
2025-10-25,1,1,1,0,7,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
