date,Harry Hamlin,Vivica A. Fox,Monique Coleman,Joey Lawrence,Dancing with the Stars,Mario Lopez,Emmitt Smith,Shanna Moakler,Willa Ford,Sara Evans,Jerry Springer,Tucker Carlson
2006-09-12,0,0,0,1,17,1.0,0.0,1.0,1.0,1.2649484536082474,1.2649484536082474,1.2649484536082474
2006-09-13,1,0,1,5,51,6.0,1.0,4.0,5.0,2.5298969072164947,2.5298969072164947,3.794845360824742
2006-09-14,1,0,0,3,40,3.0,1.0,1.0,3.0,1.2649484536082474,1.2649484536082474,3.794845360824742
2006-09-15,0,0,0,0,10,1.0,0.0,1.0,1.0,1.2649484536082474,1.2649484536082474,1.2649484536082474
2006-09-16,0,0,0,0,6,1.0,0.0,1.0,1.0,1.2649484536082474,0.0,1.2649484536082474
2006-09-17,0,0,0,0,4,1.0,0.0,1.0,1.0,1.2649484536082474,0.0,0.0
2006-09-18,0,0,0,0,5,1.0,0.0,1.0,1.0,1.2649484536082474,1.2649484536082474,0.0
2006-09-19,0,0,0,0,8,1.0,0.0,1.0,1.0,1.2649484536082474,1.2649484536082474,0.0
2006-09-20,1,0,1,9,32,11.0,1.0,2.0,5.0,1.2649484536082474,1.2649484536082474,1.2649484536082474
2006-09-21,0,0,0,4,36,5.0,0.0,2.0,3.0,1.2649484536082474,1.2649484536082474,1.2649484536082474
2006-09-22,0,0,0,0,9,2.0,0.0,1.0,1.0,0.0,0.0,0.0
2006-09-23,0,0,0,0,5,2.0,0.0,0.0,1.0,1.2649484536082474,1.2649484536082474,0.0
2006-09-24,0,0,0,0,3,2.0,0.0,0.0,0.0,1.2649484536082474,1.2649484536082474,0.0
2006-09-25,0,0,0,0,4,1.0,0.0,0.0,0.0,1.2649484536082474,0.0,0.0
2006-09-26,0,0,0,0,5,1.0,0.0,0.0,0.0,1.2649484536082474,1.2649484536082474,0.0
2006-09-27,0,0,1,5,38,12.0,1.0,1.0,9.0,2.5298969072164947,1.2649484536082474,0.0
2006-09-28,2,0,1,2,39,5.0,0.0,1.0,5.0,3.794845360824742,1.2649484536082474,0.0
2006-09-29,0,0,0,1,9,1.0,0.0,0.0,2.0,1.2649484536082474,0.0,0.0
2006-09-30,0,0,0,0,5,2.0,0.0,0.0,1.0,1.2649484536082474,0.0,0.0
2006-10-01,0,0,0,0,4,1.0,0.0,0.0,1.0,1.2649484536082474,1.2649484536082474,0.0
2006-10-02,0,0,0,0,3,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2006-10-03,0,0,0,0,6,1.0,0.0,0.0,1.0,0.0,1.2649484536082474,0.0
2006-10-04,0,0,1,4,30,6.0,0.0,21.0,6.0,2.5298969072164947,3.794845360824742,0.0
2006-10-05,0,1,0,2,39,4.0,0.0,15.0,6.0,2.5298969072164947,2.5298969072164947,0.0
2006-10-06,0,0,0,0,9,2.0,0.0,3.0,1.0,1.2649484536082474,1.2649484536082474,0.0
2006-10-07,0,0,0,0,5,1.0,0.0,2.0,1.0,1.2649484536082474,0.0,0.0
2006-10-08,0,0,0,0,3,1.0,0.0,1.0,0.0,1.2649484536082474,0.0,0.0
2006-10-09,0,0,0,0,4,1.0,0.0,1.0,0.0,1.2649484536082474,1.2649484536082474,0.0
2006-10-10,0,0,0,0,6,1.0,0.0,1.0,0.0,1.2649484536082474,1.2649484536082474,0.0
2006-10-11,0,0,1,3,30,8.0,1.0,1.0,8.0,2.5298969072164947,2.5298969072164947,0.0
2006-10-12,0,0,1,2,41,3.0,0.0,1.0,11.0,2.5298969072164947,1.2649484536082474,0.0
2006-10-13,0,0,0,1,47,2.0,1.0,1.0,5.0,50.597938144329895,1.2649484536082474,0.0
2006-10-14,0,0,0,1,20,2.0,0.0,1.0,3.0,30.358762886597937,1.2649484536082474,0.0
2006-10-15,0,0,0,0,12,1.0,0.0,1.0,1.0,13.91443298969072,0.0,0.0
2006-10-16,0,0,0,0,14,1.0,0.0,1.0,2.0,18.97422680412371,1.2649484536082474,0.0
2006-10-17,0,0,0,1,15,1.0,0.0,1.0,2.0,17.70927835051546,0.0,0.0
2006-10-18,0,0,0,4,60,5.0,1.0,0.0,2.0,126.49484536082474,1.2649484536082474,0.0
2006-10-19,0,0,0,2,44,4.0,0.0,0.0,1.0,32.88865979381443,1.2649484536082474,0.0
2006-10-20,0,0,0,1,10,1.0,0.0,0.0,1.0,15.179381443298968,0.0,0.0
2006-10-21,0,0,0,1,7,1.0,0.0,1.0,1.0,15.179381443298968,0.0,0.0
2006-10-22,0,0,0,0,4,1.0,0.0,0.0,1.0,8.85463917525773,0.0,0.0
2006-10-23,0,0,0,0,3,1.0,0.0,0.0,0.0,7.589690721649484,0.0,0.0
2006-10-24,0,0,0,1,6,1.0,1.0,0.0,0.0,6.324742268041237,1.2649484536082474,0.0
2006-10-25,0,0,1,6,28,3.0,1.0,0.0,1.0,6.324742268041237,2.5298969072164947,0.0
2006-10-26,0,0,1,4,39,3.0,1.0,0.0,1.0,6.324742268041237,2.5298969072164947,0.0
2006-10-27,0,0,0,1,10,1.0,1.0,0.0,0.0,6.324742268041237,1.2649484536082474,0.0
2006-10-28,0,0,0,0,5,1.0,0.0,0.0,0.0,3.794845360824742,1.2649484536082474,0.0
2006-10-29,0,0,0,1,4,1.0,0.0,0.0,0.0,2.5298969072164947,1.2649484536082474,0.0
2006-10-30,0,0,0,0,4,1.0,0.0,0.0,0.0,2.5298969072164947,1.2649484536082474,0.0
2006-10-31,0,0,0,1,6,1.0,0.0,0.0,0.0,2.5298969072164947,1.2649484536082474,0.0
2006-11-01,0,0,1,4,33,3.0,1.0,0.0,0.0,2.5298969072164947,0.0,0.0
2006-11-02,0,0,2,3,55,3.0,1.0,0.0,2.0,2.5298969072164947,0.0,0.0
2006-11-03,0,0,1,1,16,1.0,0.0,1.0,1.0,2.5298969072164947,0.0,0.0
2006-11-04,0,0,0,1,10,1.0,0.0,1.0,0.0,1.2649484536082474,0.0,0.0
2006-11-05,0,0,0,0,5,1.0,0.0,1.0,0.0,1.2649484536082474,1.2649484536082474,0.0
2006-11-06,0,0,0,0,5,1.0,0.0,1.0,1.0,2.5298969072164947,0.0,0.0
2006-11-07,0,0,0,0,6,1.0,0.0,1.0,0.0,6.324742268041237,1.2649484536082474,0.0
2006-11-08,0,0,0,6,41,4.0,2.0,1.0,1.0,3.794845360824742,1.2649484536082474,0.0
2006-11-09,0,0,0,9,62,5.0,2.0,1.0,1.0,2.5298969072164947,0.0,0.0
2006-11-10,0,0,0,2,15,2.0,1.0,0.0,1.0,1.2649484536082474,0.0,0.0
2006-11-11,0,0,0,1,9,2.0,1.0,0.0,0.0,2.5298969072164947,0.0,0.0
2006-11-12,0,0,0,1,6,1.0,0.0,1.0,0.0,1.2649484536082474,0.0,0.0
2006-11-13,1,0,0,1,7,1.0,1.0,0.0,0.0,1.2649484536082474,0.0,0.0
2006-11-14,0,0,0,1,13,2.0,1.0,0.0,0.0,1.2649484536082474,0.0,0.0
2006-11-15,0,0,0,1,100,18.0,7.0,0.0,0.0,1.2649484536082474,1.2649484536082474,0.0
