date,John Ratzenberger,Ian Ziering,Clyde Drexler,Laila Ali,Dancing with the Stars,Apolo Anton Ohno,Shandi Finnessey,Paulina Porizkova,Heather Mills,Billy Ray Cyrus,Joey Fatone,Leeza Gibbons
2007-03-19,0,1,0,1,26,0.0,1.0,2.0,5.0,1.0,0.0,0.0
2007-03-20,4,2,3,2,83,2.0,3.0,3.0,17.0,4.0,3.0,4.0
2007-03-21,0,0,0,1,21,1.0,0.0,1.0,8.0,1.0,0.0,0.0
2007-03-22,0,0,0,0,10,0.0,0.0,0.0,4.0,1.0,0.0,0.0
2007-03-23,0,0,0,0,8,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2007-03-24,0,0,0,0,5,0.0,0.0,1.0,2.0,1.0,0.0,0.0
2007-03-25,0,0,1,0,6,0.0,0.0,1.0,2.0,0.0,0.0,0.0
2007-03-26,0,0,0,0,12,0.0,0.0,0.0,2.0,0.0,0.0,1.0
2007-03-27,1,2,2,3,59,1.0,2.0,2.0,9.0,2.0,2.0,2.0
2007-03-28,1,0,1,2,82,1.0,3.0,10.0,6.0,1.0,1.0,1.0
2007-03-29,0,0,0,1,21,0.0,1.0,2.0,3.0,1.0,0.0,0.0
2007-03-30,0,0,0,1,9,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2007-03-31,0,0,0,1,7,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2007-04-01,0,0,0,0,7,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2007-04-02,0,0,0,0,9,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2007-04-03,1,2,1,1,45,0.0,1.0,1.0,7.0,1.0,1.0,2.0
2007-04-04,0,1,1,1,71,1.0,6.0,1.0,6.0,1.0,1.0,0.0
2007-04-05,0,0,0,0,19,0.0,1.0,0.0,1.0,1.0,0.0,1.0
2007-04-06,0,0,0,0,10,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2007-04-07,0,0,0,1,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2007-04-08,0,0,0,0,6,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-04-09,0,0,0,0,8,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2007-04-10,0,1,1,1,41,1.0,0.0,0.0,3.0,1.0,2.0,1.0
2007-04-11,1,1,1,1,64,0.0,1.0,0.0,2.0,1.0,1.0,6.0
2007-04-12,0,1,0,0,18,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2007-04-13,0,0,0,0,8,0.0,0.0,0.0,1.0,1.0,0.0,1.0
2007-04-14,0,0,0,0,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-04-15,0,0,0,0,5,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-04-16,0,0,0,0,7,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-04-17,0,1,1,1,43,1.0,0.0,0.0,5.0,1.0,1.0,0.0
2007-04-18,1,1,2,1,70,2.0,0.0,0.0,5.0,1.0,1.0,0.0
2007-04-19,0,0,0,0,20,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2007-04-20,0,0,0,0,9,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2007-04-21,0,0,0,0,7,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2007-04-22,0,0,0,0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-04-23,0,0,0,1,8,0.0,0.0,1.0,1.0,1.0,0.0,0.0
2007-04-24,1,1,1,3,45,2.0,0.0,0.0,3.0,1.0,1.0,0.0
2007-04-25,0,1,0,2,60,1.0,0.0,0.0,7.0,1.0,1.0,0.0
2007-04-26,0,0,0,0,15,0.0,0.0,0.0,2.0,1.0,0.0,0.0
2007-04-27,0,0,0,0,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-04-28,0,0,0,0,7,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-04-29,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-04-30,0,0,0,0,8,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-05-01,1,1,0,3,42,2.0,0.0,0.0,2.0,2.0,3.0,0.0
2007-05-02,2,1,0,2,60,1.0,0.0,0.0,1.0,1.0,2.0,0.0
2007-05-03,0,0,0,1,16,0.0,0.0,0.0,1.0,1.0,0.0,0.0
2007-05-04,0,0,0,0,8,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-05-05,0,0,0,1,6,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-05-06,0,0,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-07,0,0,0,0,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-05-08,0,1,0,3,47,1.0,0.0,0.0,0.0,3.0,1.0,0.0
2007-05-09,0,1,0,2,66,2.0,0.0,0.0,1.0,4.0,1.0,0.0
2007-05-10,0,1,0,1,21,1.0,0.0,0.0,0.0,2.0,0.0,1.0
2007-05-11,0,0,0,0,11,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-05-12,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-05-13,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2007-05-14,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-05-15,0,1,0,2,72,2.0,0.0,0.0,0.0,0.0,2.0,0.0
2007-05-16,0,3,0,2,83,2.0,0.0,0.0,0.0,0.0,3.0,0.0
2007-05-17,0,1,0,1,26,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-05-18,0,0,0,1,12,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2007-05-19,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-20,0,0,0,1,8,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2007-05-21,0,0,0,1,20,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-05-22,0,0,0,3,100,3.0,0.0,0.0,0.0,1.0,4.0,0.0
