date,Cameron Mathison,Jane Seymour,Sabrina Bryan,Jennie Garth,Dancing with the Stars,Floyd Mayweather Jr. ,Josie Maran,Albert Reed,Helio Castroneves,Mel B,Wayne Newton,Marie Osmond,Mark Cuban
2007-09-24,0,1,1,1,29,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0
2007-09-25,1,9,4,4,58,0.0,4.0,4.0,0.0,1.0,6.0,9.0,6.0
2007-09-26,1,3,2,2,59,0.0,3.0,9.0,2.0,0.0,28.0,4.0,11.0
2007-09-27,1,2,4,1,73,0.0,13.0,5.0,1.0,0.0,7.0,2.0,6.0
2007-09-28,0,1,1,0,14,0.0,2.0,1.0,0.0,0.0,2.0,1.0,2.0
2007-09-29,0,1,1,0,11,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0
2007-09-30,0,0,1,0,8,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
2007-10-01,0,0,0,0,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
2007-10-02,1,7,2,3,53,0.0,1.0,3.0,2.0,1.0,6.0,6.0,4.0
2007-10-03,0,10,2,2,73,0.0,1.0,7.0,2.0,0.0,5.0,3.0,4.0
2007-10-04,0,1,0,1,18,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
2007-10-05,0,1,0,0,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0
2007-10-06,0,1,1,0,7,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
2007-10-07,0,1,0,0,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2007-10-08,0,1,0,0,10,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2007-10-09,0,5,1,1,38,0.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0
2007-10-10,0,2,1,1,47,0.0,1.0,0.0,1.0,0.0,7.0,2.0,3.0
2007-10-11,0,1,0,0,13,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0
2007-10-12,0,1,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
2007-10-13,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-14,0,1,0,0,5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2007-10-15,0,1,0,0,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-16,0,2,2,2,35,0.0,0.0,0.0,1.0,0.0,1.0,3.0,3.0
2007-10-17,1,1,2,1,52,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0
2007-10-18,0,0,1,0,14,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2007-10-19,0,1,0,0,7,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2007-10-20,0,0,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-21,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007-10-22,0,0,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-10-23,1,7,3,2,70,0.0,0.0,0.0,2.0,1.0,1.0,55.0,4.0
2007-10-24,1,3,2,1,65,0.0,0.0,0.0,1.0,0.0,0.0,18.0,8.0
2007-10-25,0,1,0,0,17,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0
2007-10-26,0,1,0,0,9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
2007-10-27,0,1,0,0,8,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0
2007-10-28,0,1,0,0,6,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
2007-10-29,0,1,0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2007-10-30,1,5,1,2,38,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
2007-10-31,1,5,22,2,100,0.0,0.0,0.0,1.0,1.0,0.0,4.0,1.0
2007-11-01,0,2,7,0,28,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2007-11-02,0,2,3,0,12,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2007-11-03,0,1,3,0,10,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
2007-11-04,0,2,2,0,6,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2007-11-05,0,1,4,0,14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2007-11-06,1,5,5,3,60,0.0,0.0,0.0,1.0,2.0,0.0,11.0,1.0
2007-11-07,1,7,4,2,78,0.0,0.0,0.0,1.0,2.0,0.0,15.0,0.0
2007-11-08,1,2,3,1,25,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0
2007-11-09,0,1,2,1,14,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0
2007-11-10,0,1,1,1,12,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0
2007-11-11,0,1,2,1,9,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0
2007-11-12,0,0,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
2007-11-13,1,1,2,3,54,0.0,0.0,0.0,2.0,2.0,0.0,6.0,2.0
2007-11-14,4,1,2,2,72,0.0,0.0,0.0,2.0,1.0,0.0,6.0,2.0
2007-11-15,1,0,1,1,25,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0
2007-11-16,0,0,1,1,12,0.0,0.0,0.0,0.0,0.0,1.0,7.0,1.0
2007-11-17,0,0,1,0,9,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0
2007-11-18,0,1,1,1,7,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0
2007-11-19,0,0,0,1,9,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0
2007-11-20,0,1,1,4,62,0.0,0.0,0.0,4.0,2.0,1.0,8.0,0.0
2007-11-21,0,0,3,10,81,0.0,0.0,0.0,2.0,2.0,1.0,7.0,1.0
2007-11-22,0,0,2,2,24,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0
2007-11-23,0,1,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
