date,Cristian de la Fuente,Steve Guttenberg,Priscilla Presley,Marlee Matlin,Dancing with the Stars,Shannon Elizabeth,Marissa Jaret Winokur,Jason Taylor,Kristi Yamaguchi,Monica Seles,Penn Jillette,Adam Carolla,Mario
2008-03-17,0,0,2,2,34,2.0,0.0,2.0,1.0,1.1581267217630853,0.0,1.1581267217630853,56.74820936639118
2008-03-18,1,6,8,3,82,4.0,1.0,11.0,1.0,3.474380165289256,1.1581267217630853,3.474380165289256,62.538842975206606
2008-03-19,0,1,43,9,84,8.0,3.0,3.0,6.0,9.265013774104682,0.0,2.3162534435261706,56.74820936639118
2008-03-20,0,1,7,2,34,3.0,1.0,1.0,2.0,2.3162534435261706,0.0,2.3162534435261706,54.43195592286501
2008-03-21,0,0,3,2,18,2.0,1.0,1.0,1.0,1.1581267217630853,0.0,2.3162534435261706,63.69696969696969
2008-03-22,0,0,3,1,13,2.0,0.0,1.0,0.0,1.1581267217630853,0.0,1.1581267217630853,77.59449035812672
2008-03-23,0,0,4,1,12,3.0,0.0,1.0,1.0,1.1581267217630853,0.0,1.1581267217630853,74.12011019283746
2008-03-24,0,0,4,1,20,2.0,1.0,1.0,1.0,1.1581267217630853,0.0,1.1581267217630853,52.115702479338836
2008-03-25,1,2,24,5,81,9.0,2.0,14.0,4.0,9.265013774104682,1.1581267217630853,3.474380165289256,57.90633608815426
2008-03-26,1,2,18,3,94,7.0,2.0,9.0,3.0,13.897520661157024,2.3162534435261706,2.3162534435261706,59.06446280991735
2008-03-27,0,0,8,1,26,2.0,0.0,2.0,1.0,2.3162534435261706,0.0,1.1581267217630853,56.74820936639118
2008-03-28,0,0,4,1,14,2.0,0.0,1.0,1.0,1.1581267217630853,0.0,1.1581267217630853,60.222589531680434
2008-03-29,0,0,3,1,10,1.0,0.0,1.0,1.0,1.1581267217630853,0.0,1.1581267217630853,77.59449035812672
2008-03-30,0,0,3,0,9,1.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,76.43636363636362
2008-03-31,0,0,2,0,12,1.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,53.273829201101925
2008-04-01,1,2,16,2,60,8.0,2.0,8.0,3.0,1.1581267217630853,0.0,2.3162534435261706,53.273829201101925
2008-04-02,0,5,8,1,82,5.0,1.0,2.0,1.0,0.0,0.0,2.3162534435261706,54.43195592286501
2008-04-03,0,1,4,1,26,2.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,56.74820936639118
2008-04-04,1,1,2,1,11,3.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,59.06446280991735
2008-04-05,0,0,2,1,9,2.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,82.22699724517905
2008-04-06,0,0,4,0,9,3.0,0.0,1.0,0.0,0.0,0.0,0.0,82.22699724517905
2008-04-07,0,0,2,0,10,1.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,52.115702479338836
2008-04-08,0,0,5,3,53,10.0,1.0,6.0,2.0,0.0,0.0,2.3162534435261706,67.17134986225895
2008-04-09,1,0,4,2,68,8.0,0.0,3.0,2.0,1.1581267217630853,0.0,4.632506887052341,57.90633608815426
2008-04-10,0,0,2,1,19,3.0,0.0,1.0,1.0,0.0,0.0,2.3162534435261706,60.222589531680434
2008-04-11,0,0,1,0,13,2.0,0.0,1.0,0.0,0.0,0.0,2.3162534435261706,61.380716253443524
2008-04-12,0,0,1,0,8,3.0,0.0,0.0,0.0,0.0,0.0,1.1581267217630853,82.22699724517905
2008-04-13,0,0,2,0,7,3.0,1.0,1.0,0.0,0.0,0.0,1.1581267217630853,79.91074380165288
2008-04-14,0,0,1,0,9,1.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,53.273829201101925
2008-04-15,0,0,6,2,55,8.0,1.0,6.0,4.0,0.0,0.0,1.1581267217630853,56.74820936639118
2008-04-16,1,0,11,2,70,7.0,1.0,2.0,3.0,0.0,0.0,1.1581267217630853,55.5900826446281
2008-04-17,0,0,3,1,21,2.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,57.90633608815426
2008-04-18,0,0,4,1,14,8.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,62.538842975206606
2008-04-19,0,0,3,1,12,7.0,0.0,2.0,0.0,0.0,0.0,0.0,85.70137741046831
2008-04-20,0,0,3,1,9,6.0,0.0,1.0,1.0,0.0,0.0,1.1581267217630853,78.7526170798898
2008-04-21,0,0,1,2,11,6.0,0.0,1.0,0.0,0.0,0.0,1.1581267217630853,57.90633608815426
2008-04-22,0,0,1,3,56,23.0,1.0,5.0,4.0,0.0,0.0,1.1581267217630853,59.06446280991735
