date,Gilles Marini,Denise Richards,David Alan Grier,Lawrence Taylor,Dancing with the Stars,Ty Murray,Shawn Johnson,Steve Wozniak,Belinda Carlisle,Chuck Wicks,Lil' Kim,Steve-O,Holly Madison,Melissa Rycroft
2009-03-09,1,1,0,0,41,1.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,8.0
2009-03-10,4,5,1,1,100,2.0,12.0,7.0,3.0,4.0,0.0,2.0,9.0,13.0
2009-03-11,1,2,0,0,32,0.0,3.0,1.0,1.0,1.0,0.0,0.0,5.0,5.0
2009-03-12,0,1,0,0,15,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,3.0
2009-03-13,0,1,0,0,11,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0
2009-03-14,0,1,0,0,10,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0
2009-03-15,1,2,0,0,14,0.0,3.0,1.0,1.0,1.0,0.0,1.0,4.0,3.0
2009-03-16,0,1,0,0,13,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0
2009-03-17,3,3,0,1,55,1.0,7.0,4.0,5.0,3.0,0.0,3.0,4.0,6.0
2009-03-18,2,2,0,1,53,1.0,4.0,4.0,9.0,2.0,0.0,1.0,3.0,4.0
2009-03-19,1,2,0,0,17,0.0,1.0,1.0,2.0,0.0,0.0,1.0,2.0,1.0
2009-03-20,0,1,0,0,8,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0
2009-03-21,0,1,0,0,8,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
2009-03-22,0,1,0,0,13,0.0,2.0,1.0,1.0,1.0,0.0,1.0,3.0,2.0
2009-03-23,0,1,0,0,9,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0
2009-03-24,3,2,0,1,46,1.0,6.0,5.0,1.0,2.0,0.0,1.0,5.0,3.0
2009-03-25,1,8,0,0,47,1.0,4.0,4.0,0.0,1.0,0.0,1.0,7.0,2.0
2009-03-26,0,2,0,0,20,0.0,25.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0
2009-03-27,0,1,0,0,12,0.0,14.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0
2009-03-28,0,1,0,0,8,0.0,7.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0
2009-03-29,1,1,0,0,7,0.0,5.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0
2009-03-30,1,1,0,0,9,0.0,3.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
2009-03-31,5,1,0,1,45,1.0,7.0,3.0,0.0,2.0,0.0,1.0,4.0,2.0
2009-04-01,4,1,0,0,48,0.0,6.0,3.0,0.0,1.0,0.0,1.0,7.0,2.0
2009-04-02,1,1,0,0,19,0.0,6.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0
