date,Ashley Hamiliton,Debi Mazar,Melissa Joan Hart,Mark Dacascos,Dancing with the Stars,Chuck Liddell,Natalie Coughlin,Louie Vito,Michael Irvin,Joanna Krupa,Kathy Ireland,Tom DeLay,Macy Gray,Aaron Carter,Mya,Donny Osmond,Kelly Osbourne
2009-09-21,0,0,1,0,38,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0
2009-09-22,0,1,1,5,100,6.0,1.0,6.0,3.0,2.0,2.0,22.0,1.0,11.0,3.0,6.0,1.0
2009-09-23,0,4,4,1,97,3.0,5.0,2.0,1.0,11.0,13.0,11.0,14.0,3.0,9.0,2.0,12.0
2009-09-24,0,2,1,1,93,2.0,2.0,2.0,1.0,4.0,4.0,6.0,11.0,2.0,4.0,1.0,5.0
2009-09-25,1,1,0,1,26,2.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,2.0,3.0,1.0,2.0
2009-09-26,0,0,1,0,19,1.0,1.0,0.0,0.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0
2009-09-27,0,0,1,0,13,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,2.0
2009-09-28,0,0,0,0,16,2.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0
2009-09-29,0,3,2,1,61,4.0,2.0,3.0,2.0,4.0,4.0,7.0,1.0,6.0,7.0,4.0,3.0
2009-09-30,0,2,1,1,63,2.0,1.0,2.0,0.0,2.0,8.0,3.0,1.0,3.0,5.0,2.0,2.0
2009-10-01,0,0,1,0,23,2.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0
2009-10-02,0,0,0,0,17,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,1.0
2009-10-03,0,0,1,0,12,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0
2009-10-04,0,0,1,1,10,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0
2009-10-05,0,0,1,0,12,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,3.0,0.0,1.0
2009-10-06,0,2,2,1,59,2.0,2.0,4.0,1.0,4.0,2.0,7.0,0.0,4.0,7.0,3.0,3.0
2009-10-07,0,9,1,1,64,2.0,1.0,2.0,1.0,3.0,1.0,7.0,0.0,3.0,5.0,1.0,2.0
2009-10-08,0,1,1,0,17,1.0,1.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,0.0,1.0
2009-10-09,0,0,1,0,10,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,1.0,1.0
2009-10-10,0,0,1,0,8,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0
2009-10-11,0,1,0,0,6,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,4.0,1.0,0.0
2009-10-12,0,1,1,0,10,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0
2009-10-13,0,0,3,1,48,2.0,2.0,2.0,1.0,5.0,1.0,1.0,0.0,6.0,8.0,3.0,2.0
2009-10-14,0,0,2,1,55,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,4.0,5.0,1.0,1.0
2009-10-15,0,0,1,0,18,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0
2009-10-16,0,0,1,0,10,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-10-17,0,0,0,0,8,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
2009-10-18,0,0,0,0,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
2009-10-19,0,0,0,0,11,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0
2009-10-20,0,1,2,1,48,1.0,1.0,4.0,1.0,5.0,1.0,0.0,0.0,4.0,5.0,3.0,3.0
2009-10-21,0,0,1,1,68,1.0,7.0,1.0,1.0,3.0,1.0,0.0,0.0,3.0,4.0,3.0,2.0
2009-10-22,0,0,0,0,21,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-10-23,0,0,1,0,11,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-10-24,0,0,1,0,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2009-10-25,0,0,1,0,6,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-10-26,0,0,1,0,10,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0
2009-10-27,0,0,2,2,40,1.0,1.0,2.0,1.0,8.0,1.0,0.0,0.0,5.0,5.0,3.0,2.0
2009-10-28,0,0,4,1,57,1.0,1.0,5.0,1.0,4.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0
2009-10-29,0,0,5,0,16,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
2009-10-30,0,0,3,0,8,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2009-10-31,0,0,1,0,7,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2009-11-01,0,0,1,0,5,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0
2009-11-02,0,0,1,0,8,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0
2009-11-03,0,0,1,2,35,1.0,0.0,1.0,1.0,8.0,1.0,0.0,0.0,4.0,4.0,2.0,2.0
2009-11-04,0,0,2,3,55,1.0,0.0,1.0,1.0,10.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0
2009-11-05,0,0,1,0,18,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0
2009-11-06,0,0,1,0,9,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
2009-11-07,0,0,1,0,7,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0
2009-11-08,0,0,1,0,6,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0
2009-11-09,0,0,0,0,8,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0
2009-11-10,0,0,1,0,41,1.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,6.0,7.0,3.0,3.0
2009-11-11,0,0,0,0,62,1.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,9.0,7.0,2.0,2.0
2009-11-12,0,0,1,0,21,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,3.0,1.0,1.0
2009-11-13,0,0,0,0,10,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-11-14,0,0,1,0,8,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,1.0,3.0,0.0,1.0
2009-11-15,0,0,1,0,6,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0
2009-11-16,0,0,1,0,9,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-11-17,0,0,0,0,52,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,1.0,11.0,6.0,5.0
2009-11-18,0,0,1,0,82,1.0,0.0,0.0,0.0,21.0,1.0,0.0,0.0,2.0,9.0,3.0,5.0
2009-11-19,0,0,1,0,27,1.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,4.0,1.0,1.0
2009-11-20,0,0,1,0,12,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0
2009-11-21,0,0,0,0,10,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0,2.0
